Time,Duration
6695,4671
11366,763
12129,3837
15966,797
16763,366
17129,526
17655,280
17935,4648
22583,1202
796,801
12808,106
4026,2035
6061,5116
11200,1552
1303,693
1996,478
2474,2326
4800,395
5195,1030
6225,1635
7860,179
8039,515
8554,202
9326,1501
10827,484
11311,874
12185,616
12801,553
2906,1052
3958,2201
6159,1620
7779,263
8042,1280
9322,3556
12878,189
13067,1180
14247,1825
16072,786
16858,655
17513,342
17855,2191
20046,2035
22081,482
22563,298
22861,788
23649,1665
15128,151
15279,1153
16432,88
16520,2749
19269,774
20043,963
21006,1696
13659,5544
19203,3744
21670,77
21747,200
21947,209
11282,2265
13547,446
13993,1086
15079,4179
19258,62
19320,111
19431,429
19860,1335
21195,1835
23030,2084
25114,865
25979,403
26382,1422
27804,545
28349,336
28685,564
20805,1274
18023,1179
19202,2195
21397,1218
22615,809
23424,407
23831,186
24017,1319
21286,1173
22127,2432
25074,1541
17893,6024
23917,1328
25686,660
26346,481
1903,1745
10619,258
10877,289
11166,172
11338,917
12255,512
12767,6974
19741,2478
22219,2879
25098,1493
26591,2277
20797,1535
22332,112
19908,194
15755,511
16266,5828
9372,3654
13026,70
13096,281
13377,57
13434,473
13907,1031
14938,7031
21969,110
22813,2750
25563,935
26498,1685
28183,1370
15818,284
16102,1777
17879,2893
18037,85
5619,417
6036,1942
8092,1227
1429,3410
4900,526
5426,92
5518,155
5673,552
6225,1832
9417,2761
12178,18
12196,2624
14820,1015
15835,1397
17232,429
17661,839
18500,475
18975,1263
2175,497
2732,525
3257,1190
4447,300
4747,440
5187,874
6061,144
6205,1537
7742,246
7988,22
8010,991
9001,2695
11696,5155
16851,4103
20954,1005
2511,3802
6313,1835
9485,286
19388,275
20932,340
3173,349
28476,878
29354,1349
4877,1159
6036,1942
20670,874
21544,94
26903,979
27882,714
28596,179
13592,296
13888,8759
22647,424
23071,4517
27588,147
27735,986
28721,240
28961,2757
17303,4741
22044,1757
23801,284
24085,1341
25426,778
26204,1258
