County,Num,Year
Anderson,280,-
Anderson,1,1863
Anderson,4,1876
Anderson,5,1878
Anderson,4,1888
Anderson,4,1890
Anderson,4,1891
Anderson,5,1893
Anderson,4,1894
Anderson,5,1906
Anderson,2,1847
Anderson,6,1880
Anderson,3,1856
Anderson,9,1861
Anderson,6,1875
Anderson,3,1848
Anderson,5,1850
Anderson,2,1851
Anderson,6,1858
Anderson,6,1859
Anderson,3,1862
Anderson,6,1866
Anderson,5,1867
Anderson,2,1868
Anderson,10,1870
Anderson,3,1874
Anderson,4,1852
Anderson,2,1855
Anderson,1,1884
Anderson,4,1889
Anderson,4,1892
Anderson,6,1899
Anderson,8,1905
Anderson,4,1907
Anderson,2,1909
Anderson,5,1886
Anderson,5,1897
Anderson,4,1902
Anderson,4,1882
Anderson,3,1904
Anderson,4,1883
Anderson,4,1898
Anderson,7,1903
Anderson,2,1908
Anderson,5,1913
Anderson,2,1916
Anderson,4,1917
Anderson,2,1921
Anderson,4,1922
Anderson,4,1923
Anderson,4,1901
Anderson,5,1910
Anderson,3,1915
Anderson,1,1879
Anderson,2,1924
Anderson,2,1881
Anderson,2,1885
Anderson,2,1914
Anderson,2,1925
Anderson,7,1860
Anderson,2,1895
Anderson,1,1896
Anderson,3,1853
Anderson,6,1857
Anderson,2,1869
Anderson,2,1877
Anderson,1,0
Anderson,2,1929
Anderson,1,1918
Anderson,3,1920
Anderson,1,1931
Anderson,2,1872
Anderson,3,1854
Anderson,1,1865
Anderson,2,1871
Anderson,2,1864
Anderson,1,1873
Anderson,2,1900
Anderson,4,1911
Anderson,1,1919
Anderson,1,1928
Andrews,31,-
Andrews,3,1909
Andrews,2,1911
Andrews,3,1915
Andrews,1,1919
Andrews,2,1921
Andrews,1,1926
Andrews,1,1929
Andrews,2,1931
Andrews,3,1908
Andrews,2,1910
Andrews,1,1913
Andrews,1,1917
Andrews,1,1920
Andrews,1,1923
Andrews,2,1927
Andrews,1,1903
Andrews,1,1906
Andrews,1,1914
Andrews,1,1907
Andrews,1,1928
Angelina,260,-
Angelina,2,1916
Angelina,3,1917
Angelina,5,1919
Angelina,1,1855
Angelina,3,1860
Angelina,7,1861
Angelina,6,1898
Angelina,4,1899
Angelina,7,1900
Angelina,13,1901
Angelina,2,1907
Angelina,10,1908
Angelina,5,1912
Angelina,2,1889
Angelina,5,1894
Angelina,3,1895
Angelina,3,1876
Angelina,1,1877
Angelina,1,1881
Angelina,4,1884
Angelina,6,1886
Angelina,2,1887
Angelina,3,1888
Angelina,9,1897
Angelina,3,1914
Angelina,5,1915
Angelina,4,1857
Angelina,3,1866
Angelina,1,1873
Angelina,4,1891
Angelina,6,1892
Angelina,3,1903
Angelina,13,1906
Angelina,4,1910
Angelina,3,1920
Angelina,2,1929
Angelina,2,1909
Angelina,6,1904
Angelina,3,1925
Angelina,1,1930
Angelina,9,1902
Angelina,3,1926
Angelina,5,1893
Angelina,4,1896
Angelina,4,1858
Angelina,4,1885
Angelina,4,1922
Angelina,5,1923
Angelina,1,1856
Angelina,2,1862
Angelina,3,1852
Angelina,1,1864
Angelina,2,1865
Angelina,1,1867
Angelina,1,1868
Angelina,2,1871
Angelina,1,1874
Angelina,2,1880
Angelina,4,1882
Angelina,4,1911
Angelina,2,1921
Angelina,3,1890
Angelina,1,1918
Angelina,6,1905
Angelina,2,1883
Angelina,1,1928
Angelina,2,0
Angelina,2,1927
Angelina,1,1913
Angelina,1,1847
Angelina,3,1848
Angelina,1,1853
Angelina,1,1869
Angelina,1,1924
Angelina,1,1875
Aransas,33,-
Aransas,1,1888
Aransas,2,1890
Aransas,3,1889
Aransas,3,1892
Aransas,1,1879
Aransas,1,1882
Aransas,2,1909
Aransas,1,1905
Aransas,1,1907
