County,ChangeNum,Est,EstNum,Year
Anderson,0,-,280,-
Anderson,0,,1,1863
Anderson,0,,4,1876
Anderson,0,,5,1878
Anderson,0,,4,1888
Anderson,0,,4,1890
Anderson,0,,4,1891
Anderson,0,,5,1893
Anderson,0,,4,1894
Anderson,0,,5,1906
Anderson,0,,2,1847
Anderson,0,,6,1880
Anderson,0,,3,1856
Anderson,0,,9,1861
Anderson,0,,6,1875
Anderson,0,,3,1848
Anderson,0,,5,1850
Anderson,0,,2,1851
Anderson,0,,6,1858
Anderson,0,,6,1859
Anderson,0,,3,1862
Anderson,0,,6,1866
Anderson,0,,5,1867
Anderson,0,,2,1868
Anderson,0,,10,1870
Anderson,0,,3,1874
Anderson,0,,4,1852
Anderson,0,,2,1855
Anderson,0,,1,1884
Anderson,0,,4,1889
Anderson,0,,4,1892
Anderson,0,,6,1899
Anderson,0,,8,1905
Anderson,0,,4,1907
Anderson,0,,2,1909
Anderson,0,,5,1886
Anderson,0,,5,1897
Anderson,0,,4,1902
Anderson,0,,4,1882
Anderson,0,,3,1904
Anderson,0,,4,1883
Anderson,0,,4,1898
Anderson,0,,7,1903
Anderson,0,,2,1908
Anderson,0,,5,1913
Anderson,0,,2,1916
Anderson,0,,4,1917
Anderson,0,,2,1921
Anderson,0,,4,1922
Anderson,0,,4,1923
Anderson,0,,4,1901
Anderson,0,,5,1910
Anderson,0,,3,1915
Anderson,0,,1,1879
Anderson,0,,2,1924
Anderson,0,,2,1881
Anderson,0,,2,1885
Anderson,0,,2,1914
Anderson,0,,2,1925
Anderson,0,,7,1860
Anderson,0,,2,1895
Anderson,0,,1,1896
Anderson,0,,3,1853
Anderson,0,,6,1857
Anderson,0,,2,1869
Anderson,0,,2,1877
Anderson,0,,1,0
Anderson,0,,2,1929
Anderson,0,,1,1918
Anderson,0,,3,1920
Anderson,0,,1,1931
Anderson,0,,2,1872
Anderson,0,,3,1854
Anderson,0,,1,1865
Anderson,0,,2,1871
Anderson,0,,2,1864
Anderson,0,,1,1873
Anderson,0,,2,1900
Anderson,0,,4,1911
Anderson,0,,1,1919
Anderson,0,,1,1928
Andrews,0,-,31,-
Andrews,0,,3,1909
Andrews,0,,2,1911
Andrews,0,,3,1915
Andrews,0,,1,1919
Andrews,0,,2,1921
Andrews,0,,1,1926
Andrews,0,,1,1929
Andrews,0,,2,1931
Andrews,0,,3,1908
Andrews,0,,2,1910
Andrews,0,,1,1913
Andrews,0,,1,1917
Andrews,0,,1,1920
Andrews,0,,1,1923
Andrews,0,,2,1927
Andrews,0,,1,1903
Andrews,0,,1,1906
Andrews,0,,1,1914
Andrews,0,,1,1907
Andrews,0,,1,1928
Angelina,0,-,260,-
Angelina,0,,2,1916
Angelina,0,,3,1917
Angelina,0,,5,1919
Angelina,0,,1,1855
Angelina,0,,3,1860
Angelina,0,,7,1861
Angelina,0,,6,1898
Angelina,0,,4,1899
Angelina,0,,7,1900
Angelina,0,,13,1901
Angelina,0,,2,1907
Angelina,0,,10,1908
Angelina,0,,5,1912
Angelina,0,,2,1889
Angelina,0,,5,1894
Angelina,0,,3,1895
Angelina,0,,3,1876
Angelina,0,,1,1877
Angelina,0,,1,1881
Angelina,0,,4,1884
Angelina,0,,6,1886
Angelina,0,,2,1887
Angelina,0,,3,1888
Angelina,0,,9,1897
Angelina,0,,3,1914
Angelina,0,,5,1915
Angelina,0,,4,1857
Angelina,0,,3,1866
Angelina,0,,1,1873
Angelina,0,,4,1891
Angelina,0,,6,1892
Angelina,0,,3,1903
Angelina,0,,13,1906
Angelina,0,,4,1910
Angelina,0,,3,1920
Angelina,0,,2,1929
Angelina,0,,2,1909
Angelina,0,,6,1904
Angelina,0,,3,1925
Angelina,0,,1,1930
Angelina,0,,9,1902
Angelina,0,,3,1926
Angelina,0,,5,1893
Angelina,0,,4,1896
Angelina,0,,4,1858
Angelina,0,,4,1885
Angelina,0,,4,1922
Angelina,0,,5,1923
Angelina,0,,1,1856
Angelina,0,,2,1862
Angelina,0,,3,1852
Angelina,0,,1,1864
Angelina,0,,2,1865
Angelina,0,,1,1867
Angelina,0,,1,1868
Angelina,0,,2,1871
Angelina,0,,1,1874
Angelina,0,,2,1880
Angelina,0,,4,1882
Angelina,0,,4,1911
Angelina,0,,2,1921
Angelina,0,,3,1890
Angelina,0,,1,1918
Angelina,0,,6,1905
Angelina,0,,2,1883
Angelina,0,,1,1928
Angelina,0,,2,0
Angelina,0,,2,1927
Angelina,0,,1,1913
Angelina,0,,1,1847
Angelina,0,,3,1848
Angelina,0,,1,1853
Angelina,0,,1,1869
Angelina,0,,1,1924
Angelina,0,,1,1875
Aransas,0,-,33,-
Aransas,0,,1,1888
Aransas,0,,2,1890
Aransas,0,,3,1889
Aransas,0,,3,1892
Aransas,0,,1,1879
Aransas,0,,1,1882
Aransas,0,,2,1909
Aransas,0,,1,1905
Aransas,0,,1,1907
Aransas,0,,1,1886
Aransas,0,,2,1895
Aransas,0,,1,1887
Aransas,0,,1,1873
Aransas,0,,1,1874
Aransas,0,,1,1875
Aransas,0,,1,1885
Aransas,0,,1,1891
Aransas,0,,1,1893
Aransas,0,,1,1898
Aransas,0,,1,1904
Aransas,0,,1,1916
Aransas,0,,1,1919
Aransas,0,,1,1920
Aransas,0,,1,1926
Aransas,0,,1,1899
Aransas,0,,1,1901
Archer,0,-,79,-
Archer,0,,5,1909
Archer,0,,1,1927
Archer,0,,1,1931
Archer,0,,2,1878
Archer,0,,1,1879
Archer,0,,1,1884
Archer,0,,1,1887
Archer,0,,1,1888
Archer,0,,4,1892
Archer,0,,2,1893
Archer,0,,1,1898
Archer,0,,2,1901
Archer,0,,2,1906
Archer,0,,1,1921
Archer,0,,1,1922
Archer,0,,2,1925
Archer,0,,2,1929
Archer,0,,3,1930
Archer,0,,1,1899
Archer,0,,3,1900
Archer,0,,4,1902
Archer,0,,2,1903
Archer,0,,2,1905
Archer,0,,2,1908
Archer,0,,2,0
Archer,0,,3,1896
Archer,0,,4,1890
Archer,0,,1,1915
Archer,0,,2,1916
Archer,0,,2,1917
Archer,0,,2,1918
Archer,0,,1,1894
Archer,0,,1,1897
Archer,0,,1,1907
Archer,0,,1,1924
Archer,0,,3,1910
Archer,0,,1,1886
Archer,0,,3,1911
Archer,0,,3,1912
Archer,0,,1,1914
Archer,0,,1,1895
Armstrong,0,-,53,-
Armstrong,0,,4,1893
Armstrong,0,,1,1894
Armstrong,0,,1,1896
Armstrong,0,,2,1888
Armstrong,0,,1,1890
Armstrong,0,,3,1891
Armstrong,0,,4,1897
Armstrong,0,,1,1898
Armstrong,0,,2,1903
Armstrong,0,,5,1913
Armstrong,0,,2,1922
Armstrong,0,,3,1895
Armstrong,0,,1,0
Armstrong,0,,2,1900
Armstrong,0,,1,1901
Armstrong,0,,1,1904
Armstrong,0,,1,1906
Armstrong,0,,1,1907
Armstrong,0,,1,1909
Armstrong,0,,1,1930
Armstrong,0,,1,1882
Armstrong,0,,1,1889
Armstrong,0,,2,1910
Armstrong,0,,2,1917
Armstrong,0,,2,1920
Armstrong,0,,1,1925
Armstrong,0,,1,1892
Armstrong,0,,2,1899
Armstrong,0,,1,1916
Armstrong,0,,1,1921
Armstrong,0,,1,1915
Atascosa,0,-,218,-
Atascosa,0,,5,1886
Atascosa,0,,4,1892
Atascosa,0,,3,1897
Atascosa,0,,6,1907
Atascosa,0,,4,1908
Atascosa,0,,6,1909
Atascosa,0,,10,1910
Atascosa,0,,9,1914
Atascosa,0,,3,1889
Atascosa,0,,5,1913
Atascosa,0,,3,1929
Atascosa,0,,3,1930
Atascosa,0,,3,1871
Atascosa,0,,2,1876
Atascosa,0,,1,1877
Atascosa,0,,3,1878
Atascosa,0,,4,1879
Atascosa,0,,2,1884
