NewApp,Last,Office,Longitude,Month,County,Year,Latitude,Day,First
1,Murphy,ALDERBRANCH,-95.4580064,5,Anderson,1863,31.6887851,2,Vaughn
0,Murphy,ALDERBRANCH,-95.4580064,2,Anderson,1876,31.6887851,14,Albert G.
0,McKelvain,ALDERBRANCH,-95.4580064,3,Anderson,1878,31.6887851,18,Thos. J. M.
0,Huddleston,ALDERBRANCH,-95.4580064,9,Anderson,1888,31.6887851,18,Francis M.
0,Stovall,ALDERBRANCH,-95.4580064,11,Anderson,1890,31.6887851,24,Sims M.
0,Watson,ALDERBRANCH,-95.4580064,11,Anderson,1891,31.6887851,25,John H.
0,Huddleston,ALDERBRANCH,-95.4580064,5,Anderson,1893,31.6887851,4,Thos. W.
0,Watson,ALDERBRANCH,-95.4580064,2,Anderson,1894,31.6887851,8,Thos. R.
0,McLen,ALDERBRANCH,-95.4580064,11,Anderson,1906,31.6887851,1,Ell
1,Anglin,ANGLIN'S,,3,Anderson,1847,,8,V. S.
1,Lightfoot,ANTIQUITY,,1,Anderson,1880,,26,L.
1,Rogers,BARTON,,1,Anderson,1856,,10,Elbert M.
0,Rogers,BARTON,,8,Anderson,1861,,6,Elbert M.
2,Pickle,BARTON,,9,Anderson,1875,,1,Crawford W.
1,Hanks,BEAVER,,7,Anderson,1848,,27,Hansford
0,Files,BEAVER,,6,Anderson,1850,,20,Wm. B.
0,Hamlett,BEAVER,,10,Anderson,1851,,11,Wm. J.
0,Woolverton,BEAVER,,2,Anderson,1858,,22,Wm.
0,Hamlett,BEAVER,,3,Anderson,1859,,24,Wm. J.
0,Hamlett,BEAVER,,1,Anderson,1862,,17,Wm. J.
0,Hamlett,BEAVER,,7,Anderson,1866,,10,Wm. J.
0,Harper,BEAVER,,1,Anderson,1867,,5,Thos.
0,Hamlett,BEAVER,,6,Anderson,1868,,3,Wm. J.
2,Pinson,BEAVER,,7,Anderson,1870,,15,Allen F.
0,Monday,BEAVER,,8,Anderson,1874,,24,W. H.
0,Hamlett Jr.,BEAVER,,12,Anderson,1875,,21,Wm. J.
0,Phillips,BEAVER,,5,Anderson,1878,,13,Seabron A.
0,Towns,BEAVER,,1,Anderson,1880,,19,Alonzo H.
1,Gilmore,BETHEL,-95.9202415,12,Anderson,1852,31.9201636,16,Chas.
0,McMorris,BETHEL,-95.9202415,11,Anderson,1855,31.9201636,3,Henry W.
0,McMorris,BETHEL,-95.9202415,11,Anderson,1861,31.9201636,12,Henry W.
0,Gee,BETHEL,-95.9202415,4,Anderson,1866,31.9201636,20,Mrs. Virginia A.
0,Kersey,BETHEL,-95.9202415,1,Anderson,1867,31.9201636,8,Clinton
0,Andrews,BETHEL,-95.9202415,7,Anderson,1870,31.9201636,11,Ed.
0,Barnett,BETHEL,-95.9202415,4,Anderson,1880,31.9201636,5,Virginia C.
0,King,BETHEL,-95.9202415,10,Anderson,1880,31.9201636,11,Thos. W. H.
0,Wallace,BETHEL,-95.9202415,1,Anderson,1884,31.9201636,4,Miss Isa
0,Cooper,BETHEL,-95.9202415,1,Anderson,1889,31.9201636,2,Pitillo B.
0,Nash,BETHEL,-95.9202415,2,Anderson,1891,31.9201636,27,Laura B.
0,McCreary,BETHEL,-95.9202415,12,Anderson,1892,31.9201636,13,John D.
0,Gee,BETHEL,-95.9202415,11,Anderson,1893,31.9201636,20,Nannie E.
0,Curry,BETHEL,-95.9202415,11,Anderson,1899,31.9201636,20,Jas. A.
