NewApp,Postmaster General,Last,Office,Month,County,Year,President,Day,First
0,17,Murphy,ALDERBRANCH,2,Anderson,1876,10,14,Albert G.
0,19,McKelvain,ALDERBRANCH,3,Anderson,1878,11,18,Thos. J. M.
0,26,Huddleston,ALDERBRANCH,9,Anderson,1888,14,18,Francis M.
0,26,Stovall,ALDERBRANCH,11,Anderson,1890,15,24,Sims M.
0,26,Watson,ALDERBRANCH,11,Anderson,1891,15,25,John H.
0,26,Huddleston,ALDERBRANCH,5,Anderson,1893,16,4,Thos. W.
0,26,Watson,ALDERBRANCH,2,Anderson,1894,16,8,Thos. R.
1,19,Lightfoot,ANTIQUITY,1,Anderson,1880,11,26,L.
2,17,Pickle,BARTON,9,Anderson,1875,10,1,Crawford W.
0,14,Hamlett,BEAVER,6,Anderson,1868,8,3,Wm. J.
2,15,Pinson,BEAVER,7,Anderson,1870,9,15,Allen F.
0,16,Monday,BEAVER,8,Anderson,1874,10,24,W. H.
0,17,Hamlett Jr.,BEAVER,12,Anderson,1875,10,21,Wm. J.
0,19,Phillips,BEAVER,5,Anderson,1878,11,13,Seabron A.
0,19,Towns,BEAVER,1,Anderson,1880,11,19,Alonzo H.
0,15,Andrews,BETHEL,7,Anderson,1870,9,11,Ed.
0,19,Barnett,BETHEL,4,Anderson,1880,11,5,Virginia C.
0,20,King,BETHEL,10,Anderson,1880,11,11,Thos. W. H.
0,23,Wallace,BETHEL,1,Anderson,1884,13,4,Miss Isa
0,26,Cooper,BETHEL,1,Anderson,1889,14,2,Pitillo B.
0,26,Nash,BETHEL,2,Anderson,1891,15,27,Laura B.
0,26,McCreary,BETHEL,12,Anderson,1892,15,13,John D.
0,26,Gee,BETHEL,11,Anderson,1893,16,20,Nannie E.
0,28,Curry,BETHEL,11,Anderson,1899,17,20,Jas. A.
1,25,Stafford,BLACKFOOT,6,Anderson,1886,14,3,Wm. U.
0,25,Gage,BLACKFOOT,11,Anderson,1886,14,1,John L.
0,26,Wylie,BLACKFOOT,12,Anderson,1889,15,28,T. F.
