Name,Position,State,Date Appointed,Presidential Administration
Alexander W. Randall,Posmaster General,Wisconsin,7/25/1866,Johnson
John A. J. Creswell,Posmaster General,Maryland,3/5/1869,Grant
James W. Marshall,Posmaster General,Virginia,7/3/1874,Grant
Marshall Jewell,Posmaster General,Connecticut,8/24/1874,Grant
James N. Tyner,Posmaster General,Indiana,7/12/1876,Grant
David M. Key,Posmaster General,Tennessee,3/12/1877,Hayes
Horace Maynard,Posmaster General,Tennessee,6/2/1880,Hayes
Thomas L. James,Posmaster General,New York,3/5/1881,"Garfield, Arthur"
Timothy O. Howe,Posmaster General,Wisconsin,12/20/1881,Arthur
Walter Q. Gresham,Posmaster General,Indiana,4/3/1883,Arthur
Frank Hatton,Posmaster General,Iowa,10/14/1884,Arthur
William F. Vilas,Posmaster General,Wisconsin,3/6/1885,Cleveland
Donald M. Dickinson,Posmaster General,Michigan,1/6/1888,Cleveland
John Wanamaker,Posmaster General,Pennsylvania,3/5/1889,Harrison
Wilson S. Bissell,Posmaster General,New York,3/6/1893,Cleveland
William L. Wilson,Posmaster General,West Virginia,3/1/1895,Cleveland
James A. Gary,Posmaster General,Maryland,3/5/1897,McKinley
Charles Emory Smith,Posmaster General,Pennsylvania,4/21/1898,"McKinley, Roosevelt"
Henry C. Payne,Posmaster General,Wisconsin,1/9/1902,Roosevelt
