Name,State of Residence,Date Appointed
Samuel Osgood,Massachusetts,"September 26, 1789"
Timothy Pickering,Pennsylvania[1],"August 12, 1791"
Joseph Habersham,Georgia,"February 25, 1795"
Gideon Granger,Connecticut,"November 28, 1801"
"Return J. Meigs, Jr.",Ohio,"March 17, 1814"
John McLean,Ohio,"June 26, 1823"
William T. Barry,Kentucky,"March 9, 1829"
Amos Kendall,Kentucky,"May 1, 1835"
John M. Niles,Connecticut,"May 19, 1840"
Francis Granger,New York,"March 6, 1841"
Charles A. Wickliffe,Kentucky,"September 13, 1841"
Cave Johnson,Tennessee,"March 6, 1845"
Jacob Collamer,Vermont,"March 8, 1849"
Nathan K. Hall,New York,"July 23, 1850"
Samuel Dickinson Hubbard,Connecticut,"August 31, 1852"
James Campbell,Pennsylvania,"March 7, 1853"
Aaron V. Brown,Tennessee,"March 6, 1857"
Joseph Holt,Kentucky,"March 14, 1859"
Horatio King,Maine,"February 12, 1861"
Montgomery Blair,District of Columbia,"March 5, 1861"
William Dennison,Ohio,"September 24, 1864"
Alexander W. Randall,Wisconsin,"July 25, 1866"
John A. J. Creswell,Maryland,"March 5, 1869"
James W. Marshall,Virginia,"July 3, 1874"
Marshall Jewell,Connecticut,"August 24, 1874"
James N. Tyner,Indiana,"July 12, 1876"
David M. Key,Tennessee,"March 12, 1877"
Horace Maynard,Tennessee,"June 2, 1880"
Thomas L. James,New York,"March 5, 1881"
Timothy O. Howe,Wisconsin,"December 20, 1881"
Walter Q. Gresham,Indiana,"April 3, 1883"
Frank Hatton,Iowa,"October 14, 1884"
William F. Vilas,Wisconsin,"March 6, 1885"
Donald M. Dickinson,Michigan,"January 6, 1888"
John Wanamaker,Pennsylvania,"March 5, 1889"
Wilson S. Bissell,New York,"March 6, 1893"
William L. Wilson,West Virginia,"March 1, 1895"
James A. Gary,Maryland,"March 5, 1897"
Charles Emory Smith,Pennsylvania,"April 21, 1898"
Henry C. Payne,Wisconsin,"January 9, 1902"
Robert J. Wynne,Pennsylvania,"October 10, 1904"
George B. Cortelyou,New York,"March 6, 1905"
George von L. Meyer,Massachusetts,"January 15, 1907"
Frank H. Hitchcock,Massachusetts,"March 5, 1909"
Albert S. Burleson,Texas,"March 5, 1913"
Will H. Hays,Indiana,"March 5, 1921"
Hubert Work,Colorado,"March 4, 1922"
Harry S. New,Indiana,"February 27, 1923"
Walter F. Brown,Ohio,"March 5, 1929"
James A. Farley,New York,"March 4, 1933"
Frank C. Walker,Pennsylvania,"September 10, 1940"
Robert E. Hannegan,Missouri,"May 8, 1945"
Jesse M. Donaldson,Missouri,"December 16, 1947"
Arthur E. Summerfield,Michigan,"January 21, 1953"
J. Edward Day,California,"January 21, 1961"
John A. Gronouski,Wisconsin,"September 30, 1963"
Lawrence F. O'Brien,Massachusetts,"November 3, 1965"
W. Marvin Watson,Texas,"April 26, 1968"
Winton M. Blount,Alabama,"January 22, 1969"
