NewApp,Last,Office,Month,County,Year,Day,First,Date,EndDate,Duration,AppointingPresident,AppointingPresidentIndex,DismissingPresident,DismissingPresidentIndex,EndType
1,Murphy,ALDERBRANCH,5,Anderson,1863,2,Vaughn,5/2/1863,2/14/1876,4671,Lincoln1,6,Grant2,10,0
0,Murphy,ALDERBRANCH,2,Anderson,1876,14,Albert G.,2/14/1876,3/18/1878,763,Grant2,10,Hayes,11,0
0,McKelvain,ALDERBRANCH,3,Anderson,1878,18,Thos. J. M.,3/18/1878,9/18/1888,3837,Hayes,11,Cleveland1,14,0
0,Huddleston,ALDERBRANCH,9,Anderson,1888,18,Francis M.,9/18/1888,11/24/1890,797,Cleveland1,14,Harrison,15,0
0,Stovall,ALDERBRANCH,11,Anderson,1890,24,Sims M.,11/24/1890,11/25/1891,366,Harrison,15,Harrison,15,0
0,Watson,ALDERBRANCH,11,Anderson,1891,25,John H.,11/25/1891,5/4/1893,526,Harrison,15,Cleveland2,16,0
0,Huddleston,ALDERBRANCH,5,Anderson,1893,4,Thos. W.,5/4/1893,2/8/1894,280,Cleveland2,16,Cleveland2,16,0
0,Watson,ALDERBRANCH,2,Anderson,1894,8,Thos. R.,2/8/1894,11/1/1906,4648,Cleveland2,16,Roosevelt2,20,0
0,McLen,ALDERBRANCH,11,Anderson,1906,1,Ell,11/1/1906,2/15/1910,1202,Roosevelt2,20,Taft,21,1
1,Anglin,ANGLIN'S,3,Anderson,1847,8,V. S.,3/8/1847,5/17/1849,801,Polk,1,Taylor,2,1
1,Lightfoot,ANTIQUITY,1,Anderson,1880,26,L.,1/26/1880,5/11/1880,106,Hayes,11,Hayes,11,1
1,Rogers,BARTON,1,Anderson,1856,10,Elbert M.,1/10/1856,8/6/1861,2035,Pierce,4,Lincoln1,6,0
0,Rogers,BARTON,8,Anderson,1861,6,Elbert M.,8/6/1861,8/9/1875,5116,Lincoln1,6,Grant2,10,1
2,Pickle,BARTON,9,Anderson,1875,1,Crawford W.,9/1/1875,12/1/1879,1552,Grant2,10,Hayes,11,1
1,Hanks,BEAVER,7,Anderson,1848,27,Hansford,7/27/1848,6/20/1850,693,Polk,1,Taylor,2,0
0,Files,BEAVER,6,Anderson,1850,20,Wm. B.,6/20/1850,10/11/1851,478,Taylor,2,Fillmore,3,0
0,Hamlett,BEAVER,10,Anderson,1851,11,Wm. J.,10/11/1851,2/22/1858,2326,Fillmore,3,Buchanan,5,0
0,Woolverton,BEAVER,2,Anderson,1858,22,Wm.,2/22/1858,3/24/1859,395,Buchanan,5,Buchanan,5,0
0,Hamlett,BEAVER,3,Anderson,1859,24,Wm. J.,3/24/1859,1/17/1862,1030,Buchanan,5,Lincoln1,6,0
0,Hamlett,BEAVER,1,Anderson,1862,17,Wm. J.,1/17/1862,7/10/1866,1635,Lincoln1,6,Johnson,8,0
0,Hamlett,BEAVER,7,Anderson,1866,10,Wm. J.,7/10/1866,1/5/1867,179,Johnson,8,Johnson,8,0
0,Harper,BEAVER,1,Anderson,1867,5,Thos.,1/5/1867,6/3/1868,515,Johnson,8,Johnson,8,0
0,Hamlett,BEAVER,6,Anderson,1868,3,Wm. J.,6/3/1868,12/22/1868,202,Johnson,8,Johnson,8,1
2,Pinson,BEAVER,7,Anderson,1870,15,Allen F.,7/15/1870,8/24/1874,1501,Grant1,9,Grant2,10,0
