EndType,NewApp,Last,Office,Month,County,Year,Day,First,Date,EndDate,Duration,AppointingPresident,AppointingPresidentIndex,AppointingPG,AppointingPGIndex,DismissingPresident,DismissingPresidentIndex,DismissingPG,DismissingPGIndex,AppCongressionalElection,AppPresidentialElection,DisCongressionalElection,DisPresidentialElection
0,0,McKelvain,ALDERBRANCH,3,Anderson,1878,18,Thos. J. M.,1878-03-18,1888-09-18,3837,Hayes,11,David M. Key,26,Cleveland1,14,Donald M. Dickinson,33,,0.538,68.8,0.547
0,0,Huddleston,ALDERBRANCH,9,Anderson,1888,18,Francis M.,1888-09-18,1890-11-24,797,Cleveland1,14,Donald M. Dickinson,33,Harrison,15,John Wanamaker,34,68.8,0.547,100,1
0,0,Stovall,ALDERBRANCH,11,Anderson,1890,24,Sims M.,1890-11-24,1891-11-25,366,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,100,1,100,1
0,0,Watson,ALDERBRANCH,11,Anderson,1891,25,John H.,1891-11-25,1893-05-04,526,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,100,1,57,0.6693767
0,0,Huddleston,ALDERBRANCH,5,Anderson,1893,4,Thos. W.,1893-05-04,1894-02-08,280,Cleveland2,16,Wilson S. Bissell,35,Cleveland2,16,Wilson S. Bissell,35,57,0.6693767,57,0.6693767
0,0,Watson,ALDERBRANCH,2,Anderson,1894,8,Thos. R.,1894-02-08,11/1/06,4648,Cleveland2,16,Wilson S. Bissell,35,Roosevelt2,20,George B. Cortelyou,41,57,0.6693767,59.5,0.5818965
1,1,Lightfoot,ANTIQUITY,1,Anderson,1880,26,L.,1880-01-26,1880-05-11,106,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,,0.538,,0.538
0,0,Phillips,BEAVER,5,Anderson,1878,13,Seabron A.,1878-05-13,1880-01-19,616,Hayes,11,David M. Key,26,Hayes,11,David M. Key,26,,0.538,,0.538
1,0,Towns,BEAVER,1,Anderson,1880,19,Alonzo H.,1880-01-19,1881-07-25,553,Hayes,11,David M. Key,26,Garfield,12,Thomas L. James,28,,0.538,99.5,0.575
0,0,Barnett,BETHEL,4,Anderson,1880,5,Virginia C.,1880-04-05,1880-10-11,189,Hayes,11,David M. Key,26,Hayes,11,Horace Maynard,27,,0.538,,0.538
0,0,King,BETHEL,10,Anderson,1880,11,Thos. W. H.,1880-10-11,1884-01-04,1180,Hayes,11,Horace Maynard,27,Arthur,13,Walter Q. Gresham,30,,0.538,100,0.575
0,0,Wallace,BETHEL,1,Anderson,1884,4,Miss Isa,1884-01-04,1889-01-02,1825,Arthur,13,Walter Q. Gresham,30,Cleveland1,14,Donald M. Dickinson,33,100,0.575,84.1,1
0,0,Cooper,BETHEL,1,Anderson,1889,2,Pitillo B.,1889-01-02,1891-02-27,786,Cleveland1,14,Donald M. Dickinson,33,Harrison,15,John Wanamaker,34,84.1,1,100,1
0,0,Nash,BETHEL,2,Anderson,1891,27,Laura B.,1891-02-27,1892-12-13,655,Harrison,15,John Wanamaker,34,Harrison,15,John Wanamaker,34,100,1,57,0.6693767
0,0,McCreary,BETHEL,12,Anderson,1892,13,John D.,1892-12-13,1893-11-20,342,Harrison,15,John Wanamaker,34,Cleveland2,16,Wilson S. Bissell,35,57,0.6693767,57,0.6693767
0,0,Gee,BETHEL,11,Anderson,1893,20,Nannie E.,1893-11-20,1899-11-20,2191,Cleveland2,16,Wilson S. Bissell,35,McKinley,17,Charles Emory Smith,38,57,0.6693767,59.5,0.5818965
0,1,Stafford,BLACKFOOT,6,Anderson,1886,3,Wm. U.,1886-06-03,1886-11-01,151,Cleveland1,14,William F. Vilas,32,Cleveland1,14,William F. Vilas,32,69.3,0.547,69.3,0.547
0,0,Gage,BLACKFOOT,11,Anderson,1886,1,John L.,1886-11-01,1889-12-28,1153,Cleveland1,14,William F. Vilas,32,Harrison,15,John Wanamaker,34,69.3,0.547,84.1,1
