fips,year,pop,st,state_full,state_icpsr,county_icpsr,county_name,pres_county_share,cd,cong_county_share,turnout
48361,1876,2264.8,TX,Texas,49,3610,ORANGE,0.731,1,74.8,18.2
48365,1876,11379,TX,Texas,49,3650,PANOLA,0.976,1,99.7,54
48457,1876,5499,TX,Texas,49,4570,TYLER,0.925,1,93.7,35.3
48347,1876,10799.6,TX,Texas,49,3470,NACOGDOCHES,0.654,1,64.4,59.5
48455,1876,4605.4,TX,Texas,49,4550,TRINITY,0.803,1,79,31.7
48405,1876,4728.8,TX,Texas,49,4050,SAN AUGUSTINE,0.494,1,49.4,67.8
48245,1876,2855.8,TX,Texas,49,2450,JEFFERSON,0.739,1,78.9,34.5
48001,1876,14128.6,TX,Texas,49,10,ANDERSON,0.538,1,50.8,71.9
48225,1876,13280,TX,Texas,49,2250,HOUSTON,0.52,1,50.4,72.3
48241,1876,5154.6,TX,Texas,49,2410,JASPER,1,1,100,36.9
48351,1876,3490.2,TX,Texas,49,3510,NEWTON,1,1,100,39.2
48073,1876,14465.4,TX,Texas,49,730,CHEROKEE,0.708,1,69.7,52.3
48403,1876,3799,TX,Texas,49,4030,SABINE,1,1,98.8,46.6
48419,1876,8006.6,TX,Texas,49,4190,SHELBY,0.945,1,94.3,47.2
48071,1876,1913.4,TX,Texas,49,710,CHAMBERS,0.932,1,93.2,35.3
48199,1876,1706,TX,Texas,49,1990,HARDIN,1,1,100,10.2
48291,1876,4765,TX,Texas,49,2910,LIBERTY,0.667,1,66.2,47.3
48213,1876,8555.4,TX,Texas,49,2130,HENDERSON,0.737,1,72.8,47
48005,1876,4737.4,TX,Texas,49,50,ANGELINA,0.844,1,83.5,30.5
48401,1876,18158,TX,Texas,49,4010,RUSK,0.614,1,62.3,70
48423,1876,19730.6,TX,Texas,49,4230,SMITH,0.537,1,53.4,80.5
48499,1876,9484.8,TX,Texas,49,4990,WOOD,0.786,2,78.6,49.7
48203,1876,20402.6,TX,Texas,49,2030,HARRISON,0.306,2,30.1,95.8
48147,1876,20583.4,TX,Texas,49,1470,FANNIN,0.8038038,2,80.3,41.7
48231,1876,14454.4,TX,Texas,49,2310,HUNT,0.945,2,94.6,52.6
48379,1876,,TX,Texas,49,3790,RAINS,0.971,2,97.4,
48159,1876,,TX,Texas,49,1590,FRANKLIN,0.987,2,98.7,
48277,1876,22631.8,TX,Texas,49,2770,LAMAR,0.715,2,70.6,60.6
48063,1876,,TX,Texas,49,630,CAMP,0.546,2,54.7,
48067,1876,13584.4,TX,Texas,49,670,CASS,0.729,2,73.2,60.8
48467,1876,10169,TX,Texas,49,4670,VAN ZANDT,0.827,2,81.4,40.3
48223,1876,14337,TX,Texas,49,2230,HOPKINS,0.876,2,87.6,53.3
48387,1876,14577.6,TX,Texas,49,3870,RED RIVER,0.585,2,57,64.7
48459,1876,10975.2,TX,Texas,49,4590,UPSHUR,0.651,2,65,45.2
48119,1876,,TX,Texas,49,1190,DELTA,0.887,2,85.8,
48449,1876,8111,TX,Texas,49,4490,TITUS,0.803,2,81.1,36.8
48183,1876,,TX,Texas,49,1830,GREGG,0.572,2,56.8,
48037,1876,8452.6,TX,Texas,49,370,BOWIE,0.76,2,75.9,38.8
48343,1876,,TX,Texas,49,3430,MORRIS,0.671,2,67.2,
48315,1876,10014.6,TX,Texas,49,3150,MARION,0.39,2,39.2,69.5
48113,1876,25418.4,TX,Texas,49,1130,DALLAS,0.7897384,3,78.7,57.5
48217,1876,12913.6,TX,Texas,49,2170,HILL,0.998,3,99.9,55.4
48425,1876,,TX,Texas,49,4250,SOMERVELL,0.991,3,100,
48363,1876,3531,TX,Texas,49,3630,PALO PINTO,1,3,100,
48397,1876,,TX,Texas,49,3970,ROCKWALL,0.91,3,89.9,
48503,1876,2889.6,TX,Texas,49,5030,YOUNG,0.92,3,94.5,37.8
48337,1876,7110.2,TX,Texas,49,3370,MONTAGUE,0.983,3,99.6,28.9
48143,1876,7798,TX,Texas,49,1430,ERATH,0.996,3,99.6,51.9
48221,1876,4709,TX,Texas,49,2210,HOOD,0.995,3,100,54.9
48121,1876,13786.2,TX,Texas,49,1210,DENTON,0.952,3,95.6,48.1
48077,1876,3027,TX,Texas,49,770,CLAY,0.881,3,94,
48097,1876,14360.6,TX,Texas,49,970,COOKE,0.976,3,97.9,43
48439,1876,17117.8,TX,Texas,49,4390,TARRANT,0.922,3,92,40.5
48367,1876,11196.4,TX,Texas,49,3670,PARKER,0.93,3,93.6,38.2
48181,1876,28619.6,TX,Texas,49,1810,GRAYSON,0.802,3,80.7,54.6
48417,1876,1404.2,TX,Texas,49,4170,SHACKELFORD,0.992,3,100,27.4
48133,1876,2948.2,TX,Texas,49,1330,EASTLAND,1,3,100,22.4
48237,1876,4253.2,TX,Texas,49,2370,JACK,0.693,3,71.4,14.1
48139,1876,15782,TX,Texas,49,1390,ELLIS,0.998,3,99.8,46.4
48251,1876,12715.8,TX,Texas,49,2510,JOHNSON,0.981,3,97.9,57.5
48085,1876,21195,TX,Texas,49,850,COLLIN,0.903,3,91.5,47.2
48497,1876,10540.6,TX,Texas,49,4970,WISE,0.956,3,96.6,25
48257,1876,12026.8,TX,Texas,49,2570,KAUFMAN,0.9488978,3,95,51.4
48313,1876,4861.4,TX,Texas,49,3130,MADISON,0.893,4,100,56.5
48193,1876,4112.2,TX,Texas,49,1930,HAMILTON,1,4,99.8,51.9
48035,1876,8722.6,TX,Texas,49,350,BOSQUE,0.937,4,93.5,36.8
48407,1876,,TX,Texas,49,4070,SAN JACINTO,0.299,4,30.5,
48289,1876,10299.4,TX,Texas,49,2890,LEON,0.832,4,94.8,53.1
48293,1876,13184,TX,Texas,49,2930,LIMESTONE,0.861,4,86,58.2
