FID,OBJECTID,GISJOIN,DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSR_2,OID_,V1,V2,V3,V148,V149,V150,V151,V152,ICPSR_23,Dem_Tot,Rep_Tot,Othr_Vote,Shape_Leng,Shape_Area,WIN
0,"1,648.000000000000000",4800010,1860,Anderson,480,0010,49,10,ANDERSON,Texas,"490,010","2,264",49.000000000000000,ANDERSON,10.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,010","99,989,990","99,989,990","-18,997,998","367,478.490631000020000","2,804,867,282.780000200000000",Data
1,"1,649.000000000000000",4800050,1860,Angelina,480,0050,49,50,ANGELINA,Texas,"490,050","2,266",49.000000000000000,ANGELINA,50.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,050","99,989,990","99,989,990","-18,997,998","339,416.714953000020000","2,254,838,457.389999900000000",Data
2,"1,651.000000000000000",4800130,1860,Atascosa,480,0130,49,130,ATASCOSA,Texas,"490,130","2,270",49.000000000000000,ATASCOSA,130.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,130","99,989,990","99,989,990","-18,997,998","238,078.198104999990000","3,262,816,058.949999800000000",Data
3,"1,652.000000000000000",4800150,1860,Austin,480,0150,49,150,AUSTIN,Texas,"490,150","2,271",49.000000000000000,AUSTIN,150.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,150","99,989,990","99,989,990","-18,997,998","311,641.478435000000000","2,738,605,303.000000000000000",Data
4,"1,653.000000000000000",4800190,1860,Bandera,480,0190,49,190,BANDERA,Texas,"490,190","2,273",49.000000000000000,BANDERA,190.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,190","99,989,990","99,989,990","-18,997,998","243,757.832846000000000","2,551,909,597.809999900000000",Data
5,"1,654.000000000000000",4800210,1860,Bastrop,480,0210,49,210,BASTROP,Texas,"490,210","2,274",49.000000000000000,BASTROP,210.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,210","99,989,990","99,989,990","-18,997,998","199,775.110580000010000","2,470,772,715.159999800000000",Data
6,"1,655.000000000000000",4800230,1860,Baylor,480,0230,49,230,BAYLOR,Texas,"490,230","2,275",49.000000000000000,BAYLOR,230.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,230","99,989,990","99,989,990","-18,997,998","193,085.970143999990000","2,328,793,680.790000000000000",Data
7,"1,656.000000000000000",4800270,1860,Bell,480,0270,49,270,BELL,Texas,"490,270","2,277",49.000000000000000,BELL,270.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,270","99,989,990","99,989,990","-18,997,998","211,956.072076000010000","2,726,244,846.690000100000000",Data
8,"1,657.000000000000000",4800290,1860,Bexar,480,0290,49,290,BEXAR,Texas,"490,290","2,278",49.000000000000000,BEXAR,290.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,290","99,989,990","99,989,990","-18,997,998","456,799.965507999990000","5,562,884,168.380000100000000",Data
9,"1,658.000000000000000",4800310,1860,Blanco,480,0310,49,310,BLANCO,Texas,"490,310","2,280",49.000000000000000,BLANCO,310.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,310","99,989,990","99,989,990","-18,997,998","280,042.691662999980000","2,921,473,672.679999800000000",Data
10,"1,659.000000000000000",4800350,1860,Bosque,480,0350,49,350,BOSQUE,Texas,"490,350","2,282",49.000000000000000,BOSQUE,350.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,350","99,989,990","99,989,990","-18,997,998","258,587.552682999990000","2,607,921,965.520000000000000",Data
11,"1,660.000000000000000",4800370,1860,Bowie,480,0370,49,370,BOWIE,Texas,"490,370","2,283",49.000000000000000,BOWIE,370.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,370","99,989,990","99,989,990","-18,997,998","409,412.349510999980000","2,386,351,870.460000000000000",Data
12,"1,661.000000000000000",4800410,1860,Brazos,480,0410,49,410,BRAZOS,Texas,"490,410","2,285",49.000000000000000,BRAZOS,410.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,410","99,989,990","99,989,990","-18,997,998","284,915.826248999980000","1,544,032,471.030000000000000",Data
13,"1,662.000000000000000",4800490,1860,Brown,480,0490,49,490,BROWN,Texas,"490,490","2,289",49.000000000000000,BROWN,490.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,490","99,989,990","99,989,990","-18,997,998","289,564.908579999990000","3,374,221,967.610000100000000",Data
14,"1,663.000000000000000",4800493,1860,Buchanan,480,0493,49,4290,STEPHENS/BUCHANAN,Texas,"494,290","2,485",49.000000000000000,STEPHENS/BUCHANAN,"4,290.000000000000000",999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"494,290","99,989,990","99,989,990","-18,997,998","195,361.238147000000000","2,388,958,624.309999900000000",Data
15,"1,664.000000000000000",4800510,1860,Burleson,480,0510,49,510,BURLESON,Texas,"490,510","2,291",49.000000000000000,BURLESON,510.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,510","99,989,990","99,989,990","-18,997,998","297,485.195530000030000","2,721,195,306.719999800000000",Data
16,"1,665.000000000000000",4800530,1860,Burnet,480,0530,49,530,BURNET,Texas,"490,530","2,292",49.000000000000000,BURNET,530.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,530","99,989,990","99,989,990","-18,997,998","255,669.955580000010000","2,668,894,637.730000000000000",Data
17,"1,666.000000000000000",4800550,1860,Caldwell,480,0550,49,550,CALDWELL,Texas,"490,550","2,293",49.000000000000000,CALDWELL,550.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,550","99,989,990","99,989,990","-18,997,998","190,797.518629000000000","1,437,887,211.420000100000000",Data
18,"1,667.000000000000000",4800590,1860,Callahan,480,0590,49,590,CALLAHAN,Texas,"490,590","2,295",49.000000000000000,CALLAHAN,590.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,590","99,989,990","99,989,990","-18,997,998","193,451.982527999990000","2,340,460,826.280000200000000",Data
19,"1,668.000000000000000",4800610,1860,Cameron,480,0610,49,610,CAMERON,Texas,"490,610","2,296",49.000000000000000,CAMERON,610.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,610","99,989,990","99,989,990","-18,997,998","2,719,524.984619999800000","6,946,427,327.689999600000000",Data
20,"1,669.000000000000000",4800655,1860,Cass (old),480,0655,49,670,CASS/DAVIS,Texas,"490,670","2,299",49.000000000000000,CASS/DAVIS,670.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,670","99,989,990","99,989,990","-18,997,998","275,063.639795999970000","2,486,641,865.679999800000000",Data
21,"1,670.000000000000000",4800710,1860,Chambers,480,0710,49,710,CHAMBERS,Texas,"490,710","2,301",49.000000000000000,CHAMBERS,710.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,710","99,989,990","99,989,990","-18,997,998","344,852.273280999970000","1,655,925,175.750000000000000",Data
22,"1,671.000000000000000",4800730,1860,Cherokee,480,0730,49,730,CHEROKEE,Texas,"490,730","2,302",49.000000000000000,CHEROKEE,730.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,730","99,989,990","99,989,990","-18,997,998","351,864.120342999990000","2,742,505,886.460000000000000",Data
23,"1,672.000000000000000",4800770,1860,Clay,480,0770,49,770,CLAY,Texas,"490,770","2,304",49.000000000000000,CLAY,770.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,770","99,989,990","99,989,990","-18,997,998","253,636.884419999990000","2,883,378,461.730000000000000",Data
24,"1,673.000000000000000",4800850,1860,Collin,480,0850,49,850,COLLIN,Texas,"490,850","2,308",49.000000000000000,COLLIN,850.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,850","99,989,990","99,989,990","-18,997,998","195,105.287627000010000","2,292,867,751.230000000000000",Data
25,"1,674.000000000000000",4800890,1860,Colorado,480,0890,49,890,COLORADO,Texas,"490,890","2,310",49.000000000000000,COLORADO,890.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,890","99,989,990","99,989,990","-18,997,998","227,940.155712999990000","2,522,566,048.619999900000000",Data
