FID,OBJECTID,GISJOIN,DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,New_State,newc,ICPSR_2,OID_,V1,V2,V3,V185,V186,V187,V188,V189,V190,ICPSR_23,Dem_Tot,Rep_Tot,Green_Tot,Othr_Votes,Shape_Leng,Shape_Area,WIN
0,"1,087.000000000000000",4800010,1870,Anderson,480,0010,49,10,ANDERSON,Texas,49,10,"490,010","2,264",49.000000000000000,ANDERSON,10.000000000000000,53.799999999999997,46.200000000000003,0.000000000000000,0.000000000000000,"2,259.000000000000000",71.900000000000006,"490,010","1,215","1,044",0,0,"367,478.490631000020000","2,804,867,282.780000200000000",Dem
1,"1,088.000000000000000",4800050,1870,Angelina,480,0050,49,50,ANGELINA,Texas,49,50,"490,050","2,266",49.000000000000000,ANGELINA,50.000000000000000,84.400000000000006,15.600000000000000,0.000000000000000,0.000000000000000,276.000000000000000,30.500000000000000,"490,050",233,43,0,0,"339,416.714953000020000","2,254,838,457.389999900000000",Dem
2,"1,089.000000000000000",4800090,1870,Archer,480,0090,49,90,ARCHER,Texas,49,90,"490,090","2,268",49.000000000000000,ARCHER,90.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,090","99,989,990","99,989,990","99,989,990","-18,997,998","195,665.381984000010000","2,392,830,398.579999900000000",Data
3,"1,090.000000000000000",4800130,1870,Atascosa,480,0130,49,130,ATASCOSA,Texas,49,130,"490,130","2,270",49.000000000000000,ATASCOSA,130.000000000000000,91.700000000000003,8.300000000000001,0.000000000000000,0.000000000000000,193.000000000000000,21.600000000000001,"490,130",177,16,0,0,"238,078.198104999990000","3,262,816,058.949999800000000",Dem
4,"1,091.000000000000000",4800150,1870,Austin,480,0150,49,150,AUSTIN,Texas,49,150,"490,150","2,271",49.000000000000000,AUSTIN,150.000000000000000,60.000000000000000,40.000000000000000,0.000000000000000,0.000000000000000,"1,811.000000000000000",52.799999999999997,"490,150","1,087",724,0,0,"311,641.478435000000000","2,738,605,303.000000000000000",Dem
5,"1,092.000000000000000",4800190,1870,Bandera,480,0190,49,190,BANDERA,Texas,49,190,"490,190","2,273",49.000000000000000,BANDERA,190.000000000000000,96.599999999999994,3.400000000000000,0.000000000000000,0.000000000000000,119.000000000000000,33.799999999999997,"490,190",115,4,0,0,"243,757.832846000000000","2,551,909,597.809999900000000",Dem
6,"1,093.000000000000000",4800210,1870,Bastrop,480,0210,49,210,BASTROP,Texas,49,210,"490,210","2,274",49.000000000000000,BASTROP,210.000000000000000,52.799999999999997,47.200000000000003,0.000000000000000,0.000000000000000,"2,114.000000000000000",63.600000000000001,"490,210","1,116",998,0,0,"199,775.110580000010000","2,470,772,715.159999800000000",Dem
7,"1,094.000000000000000",4800230,1870,Baylor,480,0230,49,230,BAYLOR,Texas,49,230,"490,230","2,275",49.000000000000000,BAYLOR,230.000000000000000,999.899999999999980,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"490,230","99,989,990","99,989,990","99,989,990","-18,997,998","193,085.970143999990000","2,328,793,680.790000000000000",Data
8,"1,095.000000000000000",4800250,1870,Bee,480,0250,49,250,BEE,Texas,49,250,"490,250","2,276",49.000000000000000,BEE,250.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,166.000000000000000,39.500000000000000,"490,250",166,0,0,0,"232,754.025022999990000","2,331,172,588.679999800000000",Dem
9,"1,096.000000000000000",4800270,1870,Bell,480,0270,49,270,BELL,Texas,49,270,"490,270","2,277",49.000000000000000,BELL,270.000000000000000,93.299999999999997,6.700000000000000,0.000000000000000,0.000000000000000,"2,214.000000000000000",62.100000000000001,"490,270","2,066",148,0,0,"221,649.944236999990000","2,840,595,411.460000000000000",Dem
