FID,OBJECTID,GISJOIN,DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSR_2,OID_,V1,V2,V3,V229,V230,V231,V232,V233,V234,ICPSR_23,Dem_Tot,Rep_Tot,Green_Tot,Othr_Votes,Shape_Leng,Shape_Area,WIN
0,"1,456.000000000000000",4802910,1880,Liberty,480,2910,49,2910,LIBERTY,Texas,"492,910","2,415",49.000000000000000,LIBERTY,"2,910.000000000000000",56.299999999999997,43.700000000000003,0.000000000000000,0.000000000000000,845.000000000000000,75.900000000000006,"492,910",476,369,0,0,"249,096.928091000010000","3,084,521,042.500000000000000",Dem
1,"1,457.000000000000000",4802930,1880,Limestone,480,2930,49,2930,LIMESTONE,Texas,"492,930","2,416",49.000000000000000,LIMESTONE,"2,930.000000000000000",73.900000000000006,15.100000000000000,10.400000000000000,0.600000000000000,"2,958.000000000000000",71.099999999999994,"492,930","2,186",447,308,325,"199,009.980450000000000","2,430,887,118.030000200000000",Dem
2,"1,458.000000000000000",4802950,1880,Lipscomb,480,2950,49,2950,LIPSCOMB,Texas,"492,950","2,417",49.000000000000000,LIPSCOMB,"2,950.000000000000000",999.899999999999980,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"492,950","99,989,990","99,989,990","99,989,990","-18,997,998","195,708.466485999990000","2,393,822,897.449999800000000",Data
3,"1,459.000000000000000",4802990,1880,Llano,480,2990,49,2990,LLANO,Texas,"492,990","2,419",49.000000000000000,LLANO,"2,990.000000000000000",93.900000000000006,0.500000000000000,0.000000000000000,5.600000000000000,"1,049.000000000000000",85.599999999999994,"492,990",985,5,0,59,"236,350.439749999990000","2,526,684,774.119999900000000",Dem
4,"1,460.000000000000000",4803030,1880,Lubbock,480,3030,49,3030,LUBBOCK,Texas,"493,030","2,421",49.000000000000000,LUBBOCK,"3,030.000000000000000",999.899999999999980,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"493,030","99,989,990","99,989,990","99,989,990","-18,997,998","193,040.270662000000000","2,328,021,525.989999800000000",Data
5,"1,461.000000000000000",4803050,1880,Lynn,480,3050,49,3050,LYNN,Texas,"493,050","2,422",49.000000000000000,LYNN,"3,050.000000000000000",999.899999999999980,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"493,050","99,989,990","99,989,990","99,989,990","-18,997,998","192,548.790635999990000","2,312,655,348.639999900000000",Data
6,"1,462.000000000000000",4803070,1880,Mcculloch,480,3070,49,3070,MCCULLOCH,Texas,"493,070","2,423",49.000000000000000,MCCULLOCH,"3,070.000000000000000",94.599999999999994,4.600000000000000,0.000000000000000,0.700000000000000,409.000000000000000,73.700000000000003,"493,070",387,19,0,3,"255,143.838120000000000","2,800,458,609.159999800000000",Dem
7,"1,463.000000000000000",4803090,1880,Mclennan,480,3090,49,3090,MCLENNAN,Texas,"493,090","2,424",49.000000000000000,MCLENNAN,"3,090.000000000000000",67.599999999999994,30.100000000000001,0.000000000000000,2.400000000000000,"4,692.000000000000000",60.100000000000001,"493,090","3,172","1,412",0,108,"212,171.802900999990000","2,761,838,125.540000000000000",Dem
8,"1,464.000000000000000",4803110,1880,Mcmullen,480,3110,49,3110,MCMULLEN,Texas,"493,110","2,425",49.000000000000000,MCMULLEN,"3,110.000000000000000",88.200000000000003,11.800000000000001,0.000000000000000,0.000000000000000,178.000000000000000,69.299999999999997,"493,110",157,21,0,0,"223,518.996512000010000","3,027,031,573.230000000000000",Dem
9,"1,465.000000000000000",4803150,1880,Marion,480,3150,49,3150,MARION,Texas,"493,150","2,427",49.000000000000000,MARION,"3,150.000000000000000",29.600000000000001,70.200000000000003,0.000000000000000,0.200000000000000,"1,803.000000000000000",74.000000000000000,"493,150",534,"1,266",0,3,"199,426.705549000010000","1,089,534,717.950000000000000",Rep
10,"1,466.000000000000000",4803170,1880,Martin,480,3170,49,3170,MARTIN,Texas,"493,170","2,428",49.000000000000000,MARTIN,"3,170.000000000000000",999.899999999999980,999.899999999999980,999.899999999999980,999.899999999999980,"9,999,999.000000000000000",999.899999999999980,"493,170","99,989,990","99,989,990","99,989,990","-18,997,998","194,988.997500000000000","2,377,679,837.679999800000000",Data
11,"1,467.000000000000000",4803190,1880,Mason,480,3190,49,3190,MASON,Texas,"493,190","2,429",49.000000000000000,MASON,"3,190.000000000000000",80.599999999999994,18.199999999999999,0.000000000000000,1.200000000000000,773.000000000000000,93.900000000000006,"493,190",623,141,0,9,"198,513.467635999990000","2,437,639,395.429999800000000",Dem
12,"1,468.000000000000000",4803210,1880,Matagorda,480,3210,49,3210,MATAGORDA,Texas,"493,210","2,430",49.000000000000000,MATAGORDA,"3,210.000000000000000",34.299999999999997,65.700000000000003,0.000000000000000,0.000000000000000,724.000000000000000,78.799999999999997,"493,210",248,476,0,0,"753,269.582134000030000","3,032,772,984.559999900000000",Rep
13,"1,469.000000000000000",4803230,1880,Maverick,480,3230,49,3230,MAVERICK,Texas,"493,230","2,431",49.000000000000000,MAVERICK,"3,230.000000000000000",43.500000000000000,56.500000000000000,0.000000000000000,0.000000000000000,423.000000000000000,42.399999999999999,"493,230",184,239,0,0,"303,161.686371000020000","3,414,030,486.480000000000000",Rep
