Post Office,County1,County2,County3,State,Region,Subregion,Established,Discontinued,Stamp Rarity Factor,Continuous,GNIS_Match,Score,GNIS_ID,GNIS_Feature,GNIS_Type,GNIS_County,GNIS_State,Latitude,Longitude,Coordinates
ABBIEVILLE,Denton,,,TX,Midwest,South Midwest,1876,1876,9,Y,FALSE,,,,,,,,,N
ABBOTT,Hill,,,TX,Midwest,South Midwest,1882,,0,Y,TRUE,100,2732277,Abbott Post Office,Post Office,Hill,TX,31.8852493,-97.0718986,Y
ABE,Houston,,,TX,Midwest,South Midwest,1887,1888,8,Y,FALSE,,,,,,,,,N
ABERDEEN,Smith,,,TX,Midwest,South Midwest,1858,1871,6,Y,FALSE,,,,,,,,,N
ABERDEEN,Henderson,,,TX,Midwest,South Midwest,1859,1866,7,Y,FALSE,,,,,,,,,N
ABERDEEN,Collingsworth,,,TX,Midwest,South Midwest,1889,1942,2,Y,TRUE,100,1379308,Aberdeen,Populated Place,Collingsworth,TX,35.0378299,-100.1492797,Y
ABERFOYLE,Hunt,,,TX,Midwest,South Midwest,1884,1904,5,Y,TRUE,100,1350850,Aberfoyle,Populated Place,Hunt,TX,33.3051113,-96.0252479,Y
ABERNATHY,Hale,,,TX,Midwest,South Midwest,1910,,0,Y,TRUE,100,2731477,Abernathy Post Office,Post Office,Hale,TX,33.831572,-101.84365,Y
ABILENE,Taylor,,,TX,Midwest,South Midwest,1881,,0,Y,TRUE,100,2731349,Abilene Post Office,Post Office,Taylor,TX,32.451998,-99.732302,Y
ABLES,Hudspeth,,,TX,Midwest,South Midwest,1909,1941,2,Y,FALSE,,,,,,,,,N
ABNER,Rusk,,,TX,Midwest,South Midwest,1884,1884,7,Y,FALSE,,,,,,,,,N
ABNER,Kaufman,,,TX,Midwest,South Midwest,1885,1903,5,Y,TRUE,100,1384213,Abner,Populated Place,Kaufman,TX,32.6279109,-96.1916425,Y
ABNEY'S FARM,Denton,,,TX,Midwest,South Midwest,1877,1883,7,Y,FALSE,,,,,,,,,N
ABRA,Collingsworth,,,TX,Midwest,South Midwest,1908,1917,4,Y,TRUE,100,1372129,Abra,Oilfield,Collingsworth,TX,35.0808841,-100.3984574,Y
ABRAM,Hidalgo,,,TX,Midwest,South Midwest,1901,1941,2,Y,TRUE,100,1329182,Abram,Populated Place,Hidalgo,TX,26.1997957,-98.4111287,Y
ACALA,Hudspeth,,,TX,Midwest,South Midwest,1925,1972,1,Y,TRUE,100,1379310,Acala,Populated Place,Hudspeth,TX,31.334013,-105.9144137,Y
ACE,Polk,,,TX,Midwest,South Midwest,1915,,0,Y,TRUE,100,2731859,Ace Post Office,Post Office,Polk,TX,30.5354109,-94.8234312,Y
ACKERLY,Dawson,,,TX,Midwest,South Midwest,1924,,0,Y,TRUE,100,2731290,Ackerly Post Office,Post Office,Dawson,TX,32.525914,-101.715875,Y
ACME,Hudspeth,,,TX,Midwest,South Midwest,1884,1886,7,Y,FALSE,,,,,,,,,N
ACME,Van Zandt,,,TX,Midwest,South Midwest,1891,1898,5,Y,TRUE,100,2034766,Acme,Populated Place,Van Zandt,TX,32.3593117,-95.7257968,Y
ACME,Henderson,,,TX,Midwest,South Midwest,1896,1896,5,Y,FALSE,,,,,,,,,N
ACME,Hardeman,,,TX,Midwest,South Midwest,1898,1958,1,Y,TRUE,100,1379312,Acme (historical),Populated Place,Hardeman,TX,34.3167412,-99.8239861,Y
ACOL,Tyler,,,TX,Midwest,South Midwest,1934,1938,3,Y,FALSE,,,,,,,,,N
ACOL,Angelina,,,TX,Midwest,South Midwest,1938,1938,3,Y,FALSE,,,,,,,,,N
ACOL,Polk,,,TX,Midwest,South Midwest,1938,1942,3,Y,FALSE,,,,,,,,,N
ACOMB,McLennan,,,TX,Midwest,South Midwest,1870,1880,7,Y,FALSE,,,,,,,,,N
ACONA,Guadalupe,,,TX,Midwest,South Midwest,1895,1903,5,Y,FALSE,,,,,,,,,N
ACORN,Robertson,,,TX,Midwest,South Midwest,1881,1890,6,Y,FALSE,,,,,,,,,N
ACREY,Erath,,,TX,Midwest,South Midwest,1890,1894,7,Y,TRUE,80,1329191,Acrea Cemetery,Cemetery,Erath,TX,32.3209717,-98.1103173,Y
ACTON,Hood,,,TX,Midwest,South Midwest,1861,1906,5,Y,TRUE,100,2006377,Acton Elementary School,School,Hood,TX,32.4393054,-97.7353057,Y
ACUFF,Lubbock,,,TX,Midwest,South Midwest,1903,1912,4,Y,TRUE,100,1379313,Acuff,Populated Place,Lubbock,TX,33.5950861,-101.6201618,Y
ACWORTH,Red River,,,TX,Midwest,South Midwest,1902,1954,1,Y,TRUE,100,1379314,Acworth,Populated Place,Red River,TX,33.774275,-94.9496656,Y
AD HALL,Milam,,,TX,Midwest,South Midwest,1874,1912,4,Y,TRUE,100,1384047,Ad Hall (historical),Locale,Milam,TX,30.8474116,-97.0938793,Y
ADA,Lampasas,,,TX,Midwest,South Midwest,1878,1886,6,Y,FALSE,,,,,,,,,N
ADA,Montgomery,,,TX,Midwest,South Midwest,1893,1899,6,Y,TRUE,100,2034808,Ada,Populated Place,Montgomery,TX,30.4879806,-95.4913315,Y
ADA,Camp,,,TX,Midwest,South Midwest,1901,1901,7,Y,FALSE,,,,,,,,,N
ADA,Upshur,,,TX,Midwest,South Midwest,1902,1904,6,Y,FALSE,,,,,,,,,N
ADAIR,Swisher,,,TX,Midwest,South Midwest,1890,1895,5,Y,FALSE,,,,,,,,,N
ADAIR,Fisher,,,TX,Midwest,South Midwest,1908,1917,4,Y,FALSE,,,,,,,,,N
ADALIA,Caldwell,,,TX,Midwest,South Midwest,1901,1904,6,Y,FALSE,,,,,,,,,N
ADAM'S BAYOU,Orange,,,TX,Midwest,South Midwest,1847,1848,9,Y,TRUE,100,1329203,Adams Bayou,Stream,Orange,TX,30.0482667,-93.7298881,Y
ADAMS,Pecos,,,TX,Midwest,South Midwest,1899,1903,6,Y,FALSE,,,,,,,,,N
ADAMSVILLE,Lampasas,,,TX,Midwest,South Midwest,1891,1967,1,Y,TRUE,100,1350883,Adamsville,Populated Place,Lampasas,TX,31.3012767,-98.1689206,Y
ADD-RAN,Hood,,,TX,Midwest,South Midwest,1884,1885,8,Y,FALSE,,,,,,,,,N
ADDICKS,Harris,,,TX,Midwest,South Midwest,1884,1971,1,Y,TRUE,100,1329222,Addicks,Populated Place,Harris,TX,29.7824508,-95.6424457,Y
ADDIELOU,Red River,,,TX,Midwest,South Midwest,1916,1925,3,Y,TRUE,100,1379317,Addielou,Populated Place,Red River,TX,33.81483,-95.2166179,Y
ADDISON,Dallas,,,TX,Midwest,South Midwest,1904,,0,Y,TRUE,100,2428254,Addison Post Office,Post Office,Dallas,TX,32.9655396,-96.8279034,Y
ADDRAN,Hopkins,,,TX,Midwest,South Midwest,1890,1906,5,Y,TRUE,100,1379318,Addran,Populated Place,Hopkins,TX,33.294278,-95.6030116,Y
ADELL,Parker,,,TX,Midwest,South Midwest,1890,1904,5,Y,TRUE,100,1377918,Adell,Populated Place,Parker,TX,32.8845696,-97.9222597,Y
ADIEU,Jack,,,TX,Midwest,South Midwest,1880,1906,5,Y,FALSE,,,,,,,,,N
ADINA,Lee,,,TX,Midwest,South Midwest,1895,1908,5,Y,TRUE,100,1379320,Adina,Populated Place,Lee,TX,30.4215962,-97.1724901,Y
ADKINS,Bexar,,,TX,Midwest,South Midwest,1896,,0,Y,TRUE,100,2731947,Adkins Post Office,Post Office,Bexar,TX,29.371078,-98.2870307,Y
ADMIRAL,Callahan,,,TX,Midwest,South Midwest,1897,1929,3,Y,TRUE,100,1377919,Admiral,Populated Place,Callahan,TX,32.2965198,-99.2978494,Y
ADOBE,Hutchins,,,TX,Midwest,South Midwest,1880,1881,6,Y,FALSE,,,,,,,,,N
ADOBE WALLS,Hutchins,,,TX,Midwest,South Midwest,1887,1921,3,Y,FALSE,,,,,,,,,N
ADORA,Montague,,,TX,Midwest,South Midwest,1873,1876,8,Y,FALSE,,,,,,,,,N
ADRIAN,Oldham,,,TX,Midwest,South Midwest,1908,,0,Y,TRUE,100,1350899,Adrian,Populated Place,Oldham,TX,35.2747775,-102.6652114,Y
ADSUL,Newton,,,TX,Midwest,South Midwest,1907,1911,5,Y,TRUE,100,1379322,Adsul,Populated Place,Newton,TX,30.6429813,-93.8429568,Y
ADULLAM,Mason,,,TX,Midwest,South Midwest,1900,1902,6,Y,FALSE,,,,,,,,,N
ADVANCE,Parker,,,TX,Midwest,South Midwest,1894,1906,5,Y,TRUE,100,1377920,Advance,Populated Place,Parker,TX,32.9412342,-97.9272595,Y
AFFIE,Wheeler,,,TX,Midwest,South Midwest,1879,1912,4,Y,FALSE,,,,,,,,,N
AFRA,Scurry,,,TX,Midwest,South Midwest,1894,1904,5,Y,TRUE,100,2034894,Afra,Populated Place,Scurry,TX,32.7598297,-100.6920581,Y
AFRICA,Liberty,,,TX,Midwest,South Midwest,1880,1883,8,Y,TRUE,100,1377114,Africa,Populated Place,Liberty,TX,30.3904848,-95.0607667,Y
AFTON,Fisher,,,TX,Midwest,South Midwest,1892,1893,5,Y,TRUE,100,1329243,Afton Cemetery,Cemetery,Fisher,TX,32.8942722,-100.2298264,Y
AFTON,Dickens,,,TX,Midwest,South Midwest,1900,,0,Y,TRUE,100,2732052,Afton Post Office,Post Office,Dickens,TX,33.7588973,-100.8165938,Y
AGEE,Hamilton,,,TX,Midwest,South Midwest,1897,1905,5,Y,FALSE,,,,,,,,,N
AGISTHA,Gregg,,,TX,Midwest,South Midwest,1899,1901,6,Y,FALSE,,,,,,,,,N
AGNES,Parker,,,TX,Midwest,South Midwest,1879,1907,5,Y,TRUE,100,1377921,Agnes,Populated Place,Parker,TX,32.9792888,-97.7886421,Y
AGRICOLA,Parker,,,TX,Midwest,South Midwest,1878,1879,9,Y,FALSE,,,,,,,,,N
AGUA DULCE,Nueces,,,TX,Midwest,South Midwest,1908,,0,Y,TRUE,100,2732135,Agua Dulce Post Office,Post Office,Nueces,TX,27.7814124,-97.9108275,Y
AGUA NUEVA,Jim Hogg,,,TX,Midwest,South Midwest,1910,1966,1,Y,TRUE,100,1381013,Agua Nueva,Populated Place,Jim Hogg,TX,26.9017168,-98.6002976,Y
AGUILARES,Webb,,,TX,Midwest,South Midwest,1890,1963,1,Y,TRUE,100,1329274,Aguilares,Populated Place,Webb,TX,27.4486359,-99.0872507,Y
AID,Grimes,,,TX,Midwest,South Midwest,1905,1913,4,Y,FALSE,,,,,,,,,N
AIKEN,Bell,,,TX,Midwest,South Midwest,1868,1872,7,Y,FALSE,,,,,,,,,N
AIKEN,Floyd,,,TX,Midwest,South Midwest,1922,,0,Y,TRUE,100,2732353,Aiken Post Office,Post Office,Floyd,TX,34.1397906,-101.5198198,Y
