Dif,Ratio
-171,2.0
-171,6.0
-315,1.0
-315,5.0
-315,2.0
862,2.5
862,1.0
-383,3.0
-180,1.0
-180,1.5
342,2.0
-315,5.0
862,2.0
-767,1.6666666666666667
342,2.5
-767,6.0
-867,1.0
-383,0.5
-383,5.0
-767,1.0
-867,2.0
-867,0.2
-171,2.0
-383,3.0
342,3.0
862,3.0
-767,2.0
-171,3.0
-180,3.0
-180,0.5
-867,1.0
-968,1.6666666666666667
-968,2.0
-872,2.0
-872,2.0
-969,1.0
789,1.3333333333333333
789,1.5
-190,1.5
-190,2.0
-764,0.5
894,0.5
894,1.0
894,3.0
-969,4.0
-968,4.5
-193,2.0
-969,2.0
789,3.0
-872,1.5
-872,1.75
789,1.3333333333333333
-968,5.0
894,1.0
-193,2.0
-764,1.0
-764,1.0
-969,0.6666666666666666
-764,1.0
-193,0.5
-138,0.5
-138,1.0
-138,1.5
162,1.5
-162,2.0
130,2.0
162,3.0
130,0.5
130,2.0
-138,0.5
162,2.0
-149,2.0
-149,0.5
-85,2.0
46,2.0
46,2.0
-57,2.0
416,0.5
416,3.0
-406,2.0
-380,3.0
-406,0.5
-380,4.0
-380,2.0
-380,1.0
-406,1.5
-57,0.2
416,2.0
-406,2.0
46,0.5
416,2.0
239,2.0
239,2.0
-120,2.0
-120,2.0
-120,2.0
-155,3.0
239,4.0
-155,3.0
-155,2.0
239,2.0
-120,3.0
670,0.75
534,1.0
-908,1.5
-641,1.5
-161,0.3333333333333333
-161,2.0
-161,1.5
-161,1.0
670,1.0
670,4.0
670,3.0
-641,2.0
-908,2.0
-908,3.0
-547,3.0
-547,1.5
-547,2.0
-345,1.0
-641,3.0
-908,1.0
-345,1.0
534,2.5
534,1.5
-345,2.0
-641,2.0
-101,3.0
-101,4.0
-101,2.0
-345,6.0
-547,4.0
-101,2.0
534,1.0
-206,1.0
-922,7.0
636,5.0
-770,5.0
-922,0.5
-206,1.5
-770,2.3333333333333335
-206,1.0
-206,6.0
636,3.0
1108,4.5
-216,2.0
1108,2.0
636,1.0
636,7.0
-216,0.3333333333333333
-216,3.0
-922,2.0
1108,4.0
102,2.0
-363,2.0
-363,5.0
102,0.5
-216,3.0
102,3.0
102,1.0
-770,2.0
-363,2.0
-363,3.0
-346,0.6666666666666666
-249,2.0
227,2.0
-329,1.5
376,1.5
227,0.5
-346,2.0
-111,0.25
376,1.0
-111,0.5
-346,4.0
-249,2.0
-329,2.0
-329,2.0
-346,0.5
-329,0.5
-193,3.0
376,3.0
227,0.6666666666666666
-193,0.6666666666666666
-88,0.5
-111,2.0
376,3.0
-249,1.3333333333333333
-193,3.0
-193,0.5
-111,5.0
-111,1.3333333333333333
-88,2.5
-672,0.6666666666666666
-672,3.5
167,3.5
167,4.0
282,5.0
146,1.6666666666666667
146,3.0
-672,2.5
-364,1.75
-364,2.6666666666666665
-118,1.5
-364,1.0
-118,0.3333333333333333
-118,5.0
-88,1.6666666666666667
-88,2.0
146,1.75
146,2.5
-118,3.5
167,2.5
-672,1.5
-111,2.0
282,2.6666666666666665
282,2.0
-88,4.0
167,0.75
282,0.6
-364,1.5
-111,2.0
430,0.3333333333333333
-237,0.5
430,0.5
430,3.0
-326,0.5
-326,5.0
-382,2.0
-237,1.5
-148,1.0
291,2.0
291,3.0
291,3.0
430,3.0
-382,2.0
-148,2.0
-148,2.0
-237,2.0
-382,3.0
-326,0.5
-326,2.0
-83,5.0
-83,2.0
-166,4.0
-301,3.0
-301,1.0
215,2.0
-338,2.0
-338,4.0
-974,2.0
-338,1.0
-749,1.5
672,0.3333333333333333
672,2.0
672,1.5
672,0.6666666666666666
-974,1.0
-974,3.0
-749,3.0
-749,1.5
215,0.5
-166,0.5
-166,4.0
-301,2.0
-301,3.0
215,1.0
-974,3.0
-749,2.0
215,1.5
-3375,2.6666666666666665
-3375,2.5
-3375,2.5
3807,0.5
-4129,2.3333333333333335
3807,2.3333333333333335
3807,4.666666666666667
-3698,4.666666666666667
-284,0.4
-284,2.6666666666666665
-1918,2.0
-1918,2.0
-2738,2.5
4006,3.0
-4129,4.666666666666667
3807,3.0
-3698,5.0
-3698,11.0
-3375,2.0
-3698,9.0
4006,0.25
-284,10.0
-1918,2.5
4006,2.6666666666666665
-4129,1.75
-4129,4.5
-2738,0.8333333333333334
-2738,4.5
-2738,1.1428571428571428
-1918,1.0
4006,4.0
-284,5.0
-875,2.5
-194,0.3333333333333333
-1532,2.5
3643,1.0
-194,0.25
-194,4.0
1330,0.4
-1532,1.5
1330,1.25
1330,1.5
-1526,1.25
-1102,0.16666666666666666
-1526,2.0
-519,1.0
-1102,1.2
-1532,0.6666666666666666
3643,2.0
3643,7.0
1330,0.6
-1526,2.0
-194,1.0
-519,1.0
-1102,2.5
3643,1.6666666666666667
-875,3.5
-875,2.0
-1526,1.0
-519,3.0
-519,0.2
-875,1.0
-1532,1.0
-1102,2.0
-124,3.0
-201,5.0
-457,2.0
479,2.5
-171,5.0
-139,2.0
-68,1.5
-457,1.5
-124,2.5
-139,4.0
388,0.5
-201,1.5
-68,4.0
-457,2.0
-171,0.3333333333333333
479,0.5
-171,0.5
388,0.5
-201,0.6666666666666666
-201,2.0
-171,2.0
-124,0.6666666666666666
-124,2.0
-68,2.0
388,2.0
62,3.0
-100,1.0
-100,2.0
62,2.0
-100,2.0
62,0.5
-73,2.0
-406,2.5
-685,1.6666666666666667
-685,4.0
-685,6.0
-1413,4.0
1657,5.0
-685,0.42857142857142855
1657,2.0
-1669,2.0
-1669,2.0
1498,1.5
1498,4.0
-406,4.0
1657,3.0
-864,8.0
-1413,4.0
-1669,4.0
-864,3.0
-1044,1.0
-1044,1.0
1657,1.6666666666666667
-1669,5.0
1498,1.5
-864,6.0
-1044,5.0
-406,2.0
-1413,0.5
-406,4.0
-1044,6.0
1498,2.0
-1413,1.5
-187,3.0
-187,1.6666666666666667
-187,2.6666666666666665
-187,4.0
-324,0.75
-324,2.0
810,1.5
-43,2.5
-412,1.5
-412,1.25
-412,1.0
386,1.6666666666666667
-813,3.0
810,1.6
386,0.6666666666666666
-813,1.3333333333333333
386,4.0
810,2.5
386,2.0
-324,1.0
-324,1.5
-43,1.5
-43,1.6666666666666667
-412,2.0
810,1.5
-813,0.5
820,2.0
303,2.0
-295,8.0
303,0.8
-295,4.0
-295,4.0
-650,1.3333333333333333
606,0.25
820,4.0
-698,1.6666666666666667
-650,1.5
820,0.3333333333333333
-698,5.0
303,3.0
820,2.0
-698,5.0
-650,0.5
-650,0.6666666666666666
-295,6.0
606,3.0
606,1.5
606,1.5
-698,2.0
775,2.0
775,2.0
303,0.5
124,1.0
124,1.5
13,0.5
13,4.0
194,2.0
-169,1.3333333333333333
-169,3.0
-143,1.0
-168,1.0
-711,3.0
13,1.3333333333333333
194,1.6666666666666667
360,2.0
-168,0.6666666666666666
-711,5.0
124,2.0
-168,0.5
194,3.0
360,3.0
194,2.0
13,2.0
-143,3.0
-711,3.0
124,2.0
-169,3.0
-143,2.0
-143,2.0
-711,2.0
360,1.0
360,2.0
-140,3.0
-140,2.0
-58,2.0
-140,1.0
-58,2.0
-58,2.0
-58,2.0
98,0.6666666666666666
98,2.0
-91,2.0
-91,0.6666666666666666
-186,0.5
-186,3.0
98,2.0
-91,2.0
1575,2.4
-1160,1.0
-1426,3.0
-1426,1.6666666666666667
-1053,2.0
-1053,2.0
-1053,7.0
-1053,0.5
-8,0.3333333333333333
-823,4.0
1575,10.0
-1160,4.0
-1160,5.0
-1160,6.0
1376,2.0
-1426,3.0
-8,2.0
-8,2.0
-524,1.0
-823,2.0
1575,2.0
1376,1.5
-1426,0.75
-524,0.25
-823,5.0
-823,2.5
1376,5.0
1376,3.0
-524,0.5
-524,3.0
1575,1.5
124,0.8
-175,1.0
397,1.0
-414,1.0
397,1.0
-251,1.0
-251,5.0
-414,1.5
-296,4.0
-175,4.0
-24,2.5
-175,4.0
124,1.0
124,2.0
397,2.0
-414,1.5
-214,4.0
-214,2.0
-296,3.0
-24,2.0
-251,3.0
-414,2.5
-24,1.5
-214,0.5
-251,1.0
397,1.0
-175,4.0
-24,3.0
-214,1.5
-296,1.0
-296,1.0
-596,2.0
-1081,2.0
-941,5.0
-941,2.0
-941,3.5
-1081,1.6666666666666667
1086,4.0
1086,4.0
-483,1.3333333333333333
-596,3.0
1009,3.0
1009,1.3333333333333333
-483,0.75
-131,1.25
-131,2.5
-483,1.4
-596,2.3333333333333335
1009,6.0
-596,1.5
-1081,1.0
-1081,1.5
1086,2.0
-761,3.5
-483,2.5
-761,4.0
-761,0.6666666666666666
-131,5.0
1086,3.0
