ChangeNum,Name,EstNum,Year
0,Anderson,1,1863
207,Anderson,73,-
3,Anderson,1,1876
5,Anderson,0,1878
2,Anderson,2,1888
4,Anderson,0,1890
3,Anderson,1,1891
4,Anderson,1,1893
2,Anderson,2,1894
5,Anderson,0,1906
0,Anderson,2,1847
5,Anderson,1,1880
2,Anderson,1,1856
9,Anderson,0,1861
3,Anderson,3,1875
1,Anderson,2,1848
1,Anderson,4,1850
1,Anderson,1,1851
3,Anderson,3,1858
4,Anderson,2,1859
3,Anderson,0,1862
6,Anderson,0,1866
2,Anderson,3,1867
2,Anderson,0,1868
3,Anderson,7,1870
2,Anderson,1,1874
0,Anderson,4,1852
2,Anderson,0,1855
1,Anderson,0,1884
4,Anderson,0,1889
3,Anderson,1,1892
4,Anderson,2,1899
7,Anderson,1,1905
4,Anderson,0,1907
2,Anderson,0,1909
4,Anderson,1,1886
5,Anderson,0,1897
2,Anderson,2,1902
1,Anderson,3,1882
2,Anderson,1,1904
4,Anderson,0,1883
2,Anderson,2,1898
5,Anderson,2,1903
2,Anderson,0,1908
4,Anderson,1,1913
2,Anderson,0,1916
4,Anderson,0,1917
2,Anderson,0,1921
3,Anderson,1,1922
4,Anderson,0,1923
0,Anderson,4,1901
5,Anderson,0,1910
2,Anderson,1,1915
1,Anderson,0,1879
2,Anderson,0,1924
2,Anderson,0,1881
2,Anderson,0,1885
2,Anderson,0,1914
2,Anderson,0,1925
6,Anderson,1,1860
2,Anderson,0,1895
1,Anderson,0,1896
2,Anderson,1,1853
4,Anderson,2,1857
2,Anderson,0,1869
2,Anderson,0,1877
1,Anderson,0,0
1,Anderson,1,1929
0,Anderson,1,1918
3,Anderson,0,1920
1,Anderson,0,1931
2,Anderson,0,1872
3,Anderson,0,1854
1,Anderson,0,1865
2,Anderson,0,1871
2,Anderson,0,1864
0,Anderson,1,1873
1,Anderson,1,1900
3,Anderson,1,1911
1,Anderson,0,1919
1,Anderson,0,1928
1,Andrews,2,1909
25,Andrews,6,-
2,Andrews,0,1911
3,Andrews,0,1915
1,Andrews,0,1919
2,Andrews,0,1921
1,Andrews,0,1926
1,Andrews,0,1929
2,Andrews,0,1931
1,Andrews,2,1908
2,Andrews,0,1910
1,Andrews,0,1913
1,Andrews,0,1917
1,Andrews,0,1920
1,Andrews,0,1923
2,Andrews,0,1927
0,Andrews,1,1903
1,Andrews,0,1906
1,Andrews,0,1914
0,Andrews,1,1907
1,Andrews,0,1928
1,Angelina,1,1916
191,Angelina,69,-
3,Angelina,0,1917
4,Angelina,1,1919
0,Angelina,1,1855
0,Angelina,3,1860
7,Angelina,0,1861
4,Angelina,2,1898
3,Angelina,1,1899
5,Angelina,2,1900
9,Angelina,4,1901
1,Angelina,1,1907
8,Angelina,2,1908
5,Angelina,0,1912
1,Angelina,1,1889
3,Angelina,2,1894
2,Angelina,1,1895
2,Angelina,1,1876
1,Angelina,0,1877
0,Angelina,1,1881
1,Angelina,3,1884
3,Angelina,3,1886
2,Angelina,0,1887
3,Angelina,0,1888
8,Angelina,1,1897
3,Angelina,0,1914
4,Angelina,1,1915
2,Angelina,2,1857
2,Angelina,1,1866
1,Angelina,0,1873
3,Angelina,1,1891
5,Angelina,1,1892
2,Angelina,1,1903
9,Angelina,4,1906
4,Angelina,0,1910
2,Angelina,1,1920
2,Angelina,0,1929
1,Angelina,1,1909
6,Angelina,0,1904
3,Angelina,0,1925
1,Angelina,0,1930
6,Angelina,3,1902
2,Angelina,1,1926
3,Angelina,2,1893
4,Angelina,0,1896
3,Angelina,1,1858
2,Angelina,2,1885
4,Angelina,0,1922
5,Angelina,0,1923
0,Angelina,1,1856
2,Angelina,0,1862
2,Angelina,1,1852
1,Angelina,0,1864
2,Angelina,0,1865
1,Angelina,0,1867
1,Angelina,0,1868
1,Angelina,1,1871
1,Angelina,0,1874
1,Angelina,1,1880
2,Angelina,2,1882
4,Angelina,0,1911
1,Angelina,1,1921
1,Angelina,2,1890
1,Angelina,0,1918
5,Angelina,1,1905
1,Angelina,1,1883
1,Angelina,0,1928
2,Angelina,0,0
2,Angelina,0,1927
0,Angelina,1,1913
0,Angelina,1,1847
2,Angelina,1,1848
1,Angelina,0,1853
0,Angelina,1,1869
1,Angelina,0,1924
0,Angelina,1,1875
0,Aransas,1,1888
24,Aransas,9,-
1,Aransas,1,1890
2,Aransas,1,1889
2,Aransas,1,1892
0,Aransas,1,1879
1,Aransas,0,1882
1,Aransas,1,1909
1,Aransas,0,1905
1,Aransas,0,1907
1,Aransas,0,1886
2,Aransas,0,1895
0,Aransas,1,1887
1,Aransas,0,1873
1,Aransas,0,1874
1,Aransas,0,1875
1,Aransas,0,1885
0,Aransas,1,1891
1,Aransas,0,1893
1,Aransas,0,1898
1,Aransas,0,1904
1,Aransas,0,1916
1,Aransas,0,1919
1,Aransas,0,1920
1,Aransas,0,1926
0,Aransas,1,1899
1,Aransas,0,1901
1,Archer,4,1909
59,Archer,20,-
1,Archer,0,1927
1,Archer,0,1931
0,Archer,2,1878
1,Archer,0,1879
1,Archer,0,1884
1,Archer,0,1887
1,Archer,0,1888
1,Archer,3,1892
2,Archer,0,1893
1,Archer,0,1898
2,Archer,0,1901
2,Archer,0,1906
1,Archer,0,1921
1,Archer,0,1922
2,Archer,0,1925
2,Archer,0,1929
3,Archer,0,1930
0,Archer,1,1899
3,Archer,0,1900
3,Archer,1,1902
1,Archer,1,1903
2,Archer,0,1905
1,Archer,1,1908
2,Archer,0,0
2,Archer,1,1896
0,Archer,4,1890
1,Archer,0,1915
2,Archer,0,1916
2,Archer,0,1917
2,Archer,0,1918
1,Archer,0,1894
1,Archer,0,1897
1,Archer,0,1907
1,Archer,0,1924
2,Archer,1,1910
0,Archer,1,1886
3,Archer,0,1911
3,Archer,0,1912
1,Archer,0,1914
1,Archer,0,1895
3,Armstrong,1,1893
47,Armstrong,6,-
1,Armstrong,0,1894
1,Armstrong,0,1896
0,Armstrong,2,1888
1,Armstrong,0,1890
2,Armstrong,1,1891
3,Armstrong,1,1897
1,Armstrong,0,1898
2,Armstrong,0,1903
4,Armstrong,1,1913
2,Armstrong,0,1922
3,Armstrong,0,1895
1,Armstrong,0,0
2,Armstrong,0,1900
1,Armstrong,0,1901
1,Armstrong,0,1904
1,Armstrong,0,1906
1,Armstrong,0,1907
1,Armstrong,0,1909
1,Armstrong,0,1930
1,Armstrong,0,1882
1,Armstrong,0,1889
2,Armstrong,0,1910
2,Armstrong,0,1917
2,Armstrong,0,1920
1,Armstrong,0,1925
1,Armstrong,0,1892
2,Armstrong,0,1899
1,Armstrong,0,1916
1,Armstrong,0,1921
1,Armstrong,0,1915
2,Atascosa,3,1886
171,Atascosa,47,-
2,Atascosa,2,1892
2,Atascosa,1,1897
5,Atascosa,1,1907
3,Atascosa,1,1908
5,Atascosa,1,1909
8,Atascosa,2,1910
8,Atascosa,1,1914
2,Atascosa,1,1889
4,Atascosa,1,1913
3,Atascosa,0,1929
3,Atascosa,0,1930
2,Atascosa,1,1871
0,Atascosa,2,1876
1,Atascosa,0,1877
2,Atascosa,1,1878
2,Atascosa,2,1879
1,Atascosa,1,1884
3,Atascosa,0,1885
2,Atascosa,0,1887
3,Atascosa,1,1891
3,Atascosa,1,1898
2,Atascosa,0,1899
2,Atascosa,0,1901
5,Atascosa,0,1906
5,Atascosa,2,1912
2,Atascosa,1,1920
5,Atascosa,0,1922
1,Atascosa,1,1925
3,Atascosa,0,1926
2,Atascosa,1,1915
2,Atascosa,0,1918
3,Atascosa,0,1921
5,Atascosa,0,1924
1,Atascosa,0,1916
1,Atascosa,1,1919
4,Atascosa,0,1923
2,Atascosa,1,1927
2,Atascosa,1,1900
3,Atascosa,1,1902
5,Atascosa,0,1917
2,Atascosa,2,1881
2,Atascosa,0,1888
1,Atascosa,1,1896
2,Atascosa,2,1880
4,Atascosa,1,1895
2,Atascosa,1,1893
3,Atascosa,1,1911
0,Atascosa,1,1905
3,Atascosa,1,1883
1,Atascosa,0,1890
2,Atascosa,2,1866
2,Atascosa,0,1873
3,Atascosa,0,1874
0,Atascosa,2,1858
1,Atascosa,0,1860
1,Atascosa,0,1861
1,Atascosa,0,1862
1,Atascosa,0,1865
2,Atascosa,0,1867
1,Atascosa,0,1870
1,Atascosa,0,1875
5,Atascosa,0,1882
1,Atascosa,0,1931
1,Atascosa,0,1932
3,Atascosa,0,1903
1,Atascosa,0,1869
1,Atascosa,0,1872
2,Atascosa,0,1904
1,Atascosa,1,1894
2,Austin,5,1846
185,Austin,47,-
0,Austin,3,1849
4,Austin,0,1858
4,Austin,0,1859
11,Austin,0,1861
8,Austin,0,1866
3,Austin,1,1870
2,Austin,2,1872
6,Austin,0,1889
4,Austin,0,1898
4,Austin,0,1902
4,Austin,0,1913
5,Austin,0,1922
0,Austin,1,1891
1,Austin,0,1921
2,Austin,1,1873
6,Austin,2,1901
3,Austin,0,1909
1,Austin,1,1874
5,Austin,0,1875
2,Austin,0,1899
8,Austin,1,1893
0,Austin,2,1853
2,Austin,0,1854
3,Austin,1,1886
3,Austin,1,1892
1,Austin,1,1896
6,Austin,0,1897
2,Austin,1,1914
1,Austin,0,1915
2,Austin,0,1929
0,Austin,2,1884
2,Austin,0,1887
5,Austin,0,1905
2,Austin,1,1907
0,Austin,1,1856
2,Austin,2,1910
1,Austin,1,1912
1,Austin,1,1855
4,Austin,0,1862
4,Austin,0,1864
1,Austin,2,1857
1,Austin,0,1863
1,Austin,0,1865
2,Austin,2,1867
1,Austin,0,1868
2,Austin,0,1869
3,Austin,1,1888
3,Austin,0,1894
0,Austin,1,1906
1,Austin,1,1860
1,Austin,0,1881
1,Austin,0,1876
4,Austin,0,1879
2,Austin,1,1904
0,Austin,1,1908
2,Austin,0,1924
1,Austin,1,1848
0,Austin,1,1883
2,Austin,0,1885
1,Austin,0,1926
2,Austin,0,1927
2,Austin,0,1882
1,Austin,0,1850
3,Austin,0,1851
3,Austin,0,1852
2,Austin,0,1847
2,Austin,2,1880
1,Austin,0,1900
3,Austin,0,1928
1,Austin,0,1932
3,Austin,1,1871
2,Austin,0,0
3,Austin,1,1878
0,Austin,1,1911
2,Austin,0,1877
1,Bailey,1,1922
21,Bailey,10,-
0,Bailey,2,1925
1,Bailey,0,1928
1,Bailey,0,1930
7,Bailey,0,1929
0,Bailey,1,1931
1,Bailey,1,1926
1,Bailey,1,1907
1,Bailey,1,1913
1,Bailey,0,1915
2,Bailey,0,1919
1,Bailey,0,1921
1,Bailey,0,1923
2,Bailey,1,1927
0,Bailey,1,1910
0,Bailey,1,1914
1,Bailey,0,1920
0,Bandera,1,1858
79,Bandera,23,-
1,Bandera,0,1861
2,Bandera,0,1865
1,Bandera,0,1866
1,Bandera,0,1868
1,Bandera,0,1871
1,Bandera,2,1880
1,Bandera,0,1889
1,Bandera,0,1893
2,Bandera,1,1899
2,Bandera,1,1908
2,Bandera,0,1913
3,Bandera,0,1919
2,Bandera,0,1926
1,Bandera,1,1906
2,Bandera,0,1907
4,Bandera,0,1914
2,Bandera,0,1920
1,Bandera,0,1921
1,Bandera,0,1922
3,Bandera,0,1923
2,Bandera,1,1884
0,Bandera,1,1894
1,Bandera,0,1882
0,Bandera,3,1879
1,Bandera,1,1886
0,Bandera,1,1878
3,Bandera,0,1881
1,Bandera,0,1890
1,Bandera,0,1896
1,Bandera,0,1897
0,Bandera,1,1883
0,Bandera,1,1898
2,Bandera,0,1900
3,Bandera,0,1904
2,Bandera,0,1911
3,Bandera,0,1915
3,Bandera,0,1917
2,Bandera,0,1918
2,Bandera,0,1887
1,Bandera,2,1895
1,Bandera,2,1901
0,Bandera,1,1873
