NewApp,Last,Office,Month,County,Year,Day,First
1,Murphy,ALDERBRANCH,5,Anderson,1863,2,Vaughn
0,Murphy,ALDERBRANCH,2,Anderson,1876,14,Albert G.
0,McKelvain,ALDERBRANCH,3,Anderson,1878,18,Thos. J. M.
0,Huddleston,ALDERBRANCH,9,Anderson,1888,18,Francis M.
0,Stovall,ALDERBRANCH,11,Anderson,1890,24,Sims M.
0,Watson,ALDERBRANCH,11,Anderson,1891,25,John H.
0,Huddleston,ALDERBRANCH,5,Anderson,1893,4,Thos. W.
0,Watson,ALDERBRANCH,2,Anderson,1894,8,Thos. R.
0,McLen,ALDERBRANCH,11,Anderson,1906,1,Ell
1,Anglin,ANGLIN'S,3,Anderson,1847,8,V. S.
1,Lightfoot,ANTIQUITY,1,Anderson,1880,26,L.
1,Rogers,BARTON,1,Anderson,1856,10,Elbert M.
0,Rogers,BARTON,8,Anderson,1861,6,Elbert M.
2,Pickle,BARTON,9,Anderson,1875,1,Crawford W.
1,Hanks,BEAVER,7,Anderson,1848,27,Hansford
0,Files,BEAVER,6,Anderson,1850,20,Wm. B.
0,Hamlett,BEAVER,10,Anderson,1851,11,Wm. J.
0,Woolverton,BEAVER,2,Anderson,1858,22,Wm.
0,Hamlett,BEAVER,3,Anderson,1859,24,Wm. J.
0,Hamlett,BEAVER,1,Anderson,1862,17,Wm. J.
0,Hamlett,BEAVER,7,Anderson,1866,10,Wm. J.
0,Harper,BEAVER,1,Anderson,1867,5,Thos.
0,Hamlett,BEAVER,6,Anderson,1868,3,Wm. J.
2,Pinson,BEAVER,7,Anderson,1870,15,Allen F.
0,Monday,BEAVER,8,Anderson,1874,24,W. H.
0,Hamlett Jr.,BEAVER,12,Anderson,1875,21,Wm. J.
0,Phillips,BEAVER,5,Anderson,1878,13,Seabron A.
0,Towns,BEAVER,1,Anderson,1880,19,Alonzo H.
1,Gilmore,BETHEL,12,Anderson,1852,16,Chas.
0,McMorris,BETHEL,11,Anderson,1855,3,Henry W.
0,McMorris,BETHEL,11,Anderson,1861,12,Henry W.
0,Gee,BETHEL,4,Anderson,1866,20,Mrs. Virginia A.
0,Kersey,BETHEL,1,Anderson,1867,8,Clinton
0,Andrews,BETHEL,7,Anderson,1870,11,Ed.
0,Barnett,BETHEL,4,Anderson,1880,5,Virginia C.
0,King,BETHEL,10,Anderson,1880,11,Thos. W. H.
0,Wallace,BETHEL,1,Anderson,1884,4,Miss Isa
0,Cooper,BETHEL,1,Anderson,1889,2,Pitillo B.
0,Nash,BETHEL,2,Anderson,1891,27,Laura B.
0,McCreary,BETHEL,12,Anderson,1892,13,John D.
0,Gee,BETHEL,11,Anderson,1893,20,Nannie E.
0,Curry,BETHEL,11,Anderson,1899,20,Jas. A.
0,Rampy,BETHEL,6,Anderson,1905,17,Hattie A.
0,Derden,BETHEL,10,Anderson,1906,12,Milze J.
0,Howell,BETHEL,8,Anderson,1907,6,Belle
0,Derden,BETHEL,10,Anderson,1909,2,Mary E.
1,Stafford,BLACKFOOT,6,Anderson,1886,3,Wm. U.
0,Gage,BLACKFOOT,11,Anderson,1886,1,John L.
0,Wylie,BLACKFOOT,12,Anderson,1889,28,T. F.
0,Colvin,BLACKFOOT,3,Anderson,1890,26,Harriet L. V.
0,Jenkins,BLACKFOOT,10,Anderson,1897,4,Wiley H.
0,McDonald,BLACKFOOT,11,Anderson,1899,17,Emlia C.
0,Gatewood,BLACKFOOT,7,Anderson,1902,8,Elisha
1,Bradford,BRADFORD,5,Anderson,1882,26,Pond L.
0,Scarborough,BRADFORD,7,Anderson,1897,30,Anna
1,Gilbert,BRIT,5,Anderson,1904,2,G. W.
0,Holcomb,BRIT,7,Anderson,1904,18,Jeff D.
0,McCracken,BRIT,2,Anderson,1905,3,Louisa J.
0,Rogers,BRUSHY CREEK,11,Anderson,1875,22,J. C.
0,Goolsby,BRUSHY CREEK,2,Anderson,1882,3,J. A.
0,Alexander,BRUSHY CREEK,4,Anderson,1883,25,Chris. L.
0,Cely,BRUSHY CREEK,4,Anderson,1886,15,John F.
0,Coker,BRUSHY CREEK,9,Anderson,1897,23,Robt.
0,McDonald,BRUSHY CREEK,11,Anderson,1897,24,Albert H.
0,Patterson,BRUSHY CREEK,3,Anderson,1898,15,John W.
0,Cely,BRUSHY CREEK,4,Anderson,1886,15,John F.
0,Elrod,BRUSHY CREEK,5,Anderson,1899,18,Lawrence B.
0,Gaines,BRUSHY CREEK,1,Anderson,1903,13,Benj. F.
0,Lunsford,BRUSHY CREEK,1,Anderson,1908,22,Uriah W.
0,Lunsford,BRUSHY CREEK,10,Anderson,1913,6,Wm. H.
0,Gaines,BRUSHY CREEK,2,Anderson,1916,18,B. F.
0,Evans,BRUSHY CREEK,3,Anderson,1917,27,Alfred L.
0,Godley,BRUSHY CREEK,2,Anderson,1921,16,Arch. G.
0,Berry,BRUSHY CREEK,8,Anderson,1922,15,Doyle P.
0,Cely,BRUSHY CREEK,7,Anderson,1923,17,Frank I.
1,Patterson,CANTRELL,12,Anderson,1901,19,Ruth R.
1,Davenport,CAYUGA,5,Anderson,1894,7,Wm. A.
0,Cornwell,CAYUGA,7,Anderson,1897,29,Cora L.
0,Godley,CAYUGA,8,Anderson,1903,3,Beulah
0,Thomas,CAYUGA,12,Anderson,1906,3,Mamie C.
0,Godley,CAYUGA,2,Anderson,1909,19,Beulah
