"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"1","Murphy","Vaughn","ALDERBRANCH","Anderson",1863,"5","2","Vaughn","male","male"
"2","Murphy","Albert G.","ALDERBRANCH","Anderson",1876,"2","14","Albert","male","male"
"3","McKelvain","Thos. J. M.","ALDERBRANCH","Anderson",1878,"3","18","Thos",NA,"male"
"4","Huddleston","Francis M.","ALDERBRANCH","Anderson",1888,"9","18","Francis","male","male"
"5","Stovall","Sims M.","ALDERBRANCH","Anderson",1890,"11","24","Sims","male","male"
"6","Watson","John H.","ALDERBRANCH","Anderson",1891,"11","25","John","male","male"
"7","Huddleston","Thos. W.","ALDERBRANCH","Anderson",1893,"5","4","Thos",NA,"male"
"8","Watson","Thos. R.","ALDERBRANCH","Anderson",1894,"2","8","Thos",NA,"male"
"9","McLen","Ell","ALDERBRANCH","Anderson",1906,"11","1","Ell","male","male"
"10","Anglin","V. S.","ANGLIN'S","Anderson",1847,"3","8","V","male","male"
"11","Lightfoot","L.","ANTIQUITY","Anderson",1880,"1","26","L","male","male"
"12","Rogers","Elbert M.","BARTON","Anderson",1856,"1","10","Elbert","male","male"
"13","Rogers","Elbert M.","BARTON","Anderson",1861,"8","6","Elbert","male","male"
"14","Pickle","Crawford W.","BARTON","Anderson",1875,"9","1","Crawford","male","male"
"15","Hanks","Hansford","BEAVER","Anderson",1848,"7","27","Hansford","male","male"
"16","Files","Wm. B.","BEAVER","Anderson",1850,"6","20","Wm",NA,"male"
"17","Hamlett","Wm. J.","BEAVER","Anderson",1851,"10","11","Wm",NA,"male"
"18","Woolverton","Wm.","BEAVER","Anderson",1858,"2","22","Wm",NA,"male"
"19","Hamlett","Wm. J.","BEAVER","Anderson",1859,"3","24","Wm",NA,"male"
"20","Hamlett","Wm. J.","BEAVER","Anderson",1862,"1","17","Wm",NA,"male"
"21","Hamlett","Wm. J.","BEAVER","Anderson",1866,"7","10","Wm",NA,"male"
"22","Harper","Thos.","BEAVER","Anderson",1867,"1","5","Thos",NA,"male"
"23","Hamlett","Wm. J.","BEAVER","Anderson",1868,"6","3","Wm",NA,"male"
"24","Pinson","Allen F.","BEAVER","Anderson",1870,"7","15","Allen","male","male"
"25","Monday","W. H.","BEAVER","Anderson",1874,"8","24","W","male","male"
"26","Hamlett Jr.","Wm. J.","BEAVER","Anderson",1875,"12","21","Wm",NA,"male"
"27","Phillips","Seabron A.","BEAVER","Anderson",1878,"5","13","Seabron","male","male"
"28","Towns","Alonzo H.","BEAVER","Anderson",1880,"1","19","Alonzo","male","male"
"29","Gilmore","Chas.","BETHEL","Anderson",1852,"12","16","Chas",NA,"male"
"30","McMorris","Henry W.","BETHEL","Anderson",1855,"11","3","Henry","male","male"
"31","McMorris","Henry W.","BETHEL","Anderson",1861,"11","12","Henry","male","male"
"32","Gee","Mrs. Virginia A.","BETHEL","Anderson",1866,"4","20","Virginia","female","female"
"33","Kersey","Clinton","BETHEL","Anderson",1867,"1","8","Clinton","male","male"
"34","Andrews","Ed.","BETHEL","Anderson",1870,"7","11","Ed","male","male"
"35","Barnett","Virginia C.","BETHEL","Anderson",1880,"4","5","Virginia","female","female"
"36","King","Thos. W. H.","BETHEL","Anderson",1880,"10","11","Thos",NA,"male"
"37","Wallace","Miss Isa","BETHEL","Anderson",1884,"1","4","Isa","female","female"
"38","Cooper","Pitillo B.","BETHEL","Anderson",1889,"1","2","Pitillo",NA,"male"
"39","Nash","Laura B.","BETHEL","Anderson",1891,"2","27","Laura","female","female"
"40","McCreary","John D.","BETHEL","Anderson",1892,"12","13","John","male","male"
"41","Gee","Nannie E.","BETHEL","Anderson",1893,"11","20","Nannie","female","female"
"42","Curry","Jas. A.","BETHEL","Anderson",1899,"11","20","Jas",NA,"male"
"43","Rampy","Hattie A.","BETHEL","Anderson",1905,"6","17","Hattie","female","female"
"44","Derden","Milze J.","BETHEL","Anderson",1906,"10","12","Milze",NA,"male"
"45","Howell","Belle","BETHEL","Anderson",1907,"8","6","Belle","female","female"
"46","Derden","Mary E.","BETHEL","Anderson",1909,"10","2","Mary","female","female"
"47","Stafford","Wm. U.","BLACKFOOT","Anderson",1886,"6","3","Wm",NA,"male"
"48","Gage","John L.","BLACKFOOT","Anderson",1886,"11","1","John","male","male"
"49","Wylie","T. F.","BLACKFOOT","Anderson",1889,"12","28","T","male","male"
"50","Colvin","Harriet L. V.","BLACKFOOT","Anderson",1890,"3","26","Harriet","female","female"
"51","Jenkins","Wiley H.","BLACKFOOT","Anderson",1897,"10","4","Wiley","male","male"
"52","McDonald","Emlia C.","BLACKFOOT","Anderson",1899,"11","17","Emlia","female","female"
"53","Gatewood","Elisha","BLACKFOOT","Anderson",1902,"7","8","Elisha","male","male"
"54","Bradford","Pond L.","BRADFORD","Anderson",1882,"5","26","Pond","male","male"
"55","Scarborough","Anna","BRADFORD","Anderson",1897,"7","30","Anna","female","female"
"56","Gilbert","G. W.","BRIT","Anderson",1904,"5","2","G","male","male"
"57","Holcomb","Jeff D.","BRIT","Anderson",1904,"7","18","Jeff","male","male"
"58","McCracken","Louisa J.","BRIT","Anderson",1905,"2","3","Louisa","female","female"
"59","Rogers","J. C.","BRUSHY CREEK","Anderson",1875,"11","22","J","male","male"
"60","Goolsby","J. A.","BRUSHY CREEK","Anderson",1882,"2","3","J","male","male"
"61","Alexander","Chris. L.","BRUSHY CREEK","Anderson",1883,"4","25","Chris","male","male"
"62","Cely","John F.","BRUSHY CREEK","Anderson",1886,"4","15","John","male","male"
"63","Coker","Robt.","BRUSHY CREEK","Anderson",1897,"9","23","Robt","male","male"
"64","McDonald","Albert H.","BRUSHY CREEK","Anderson",1897,"11","24","Albert","male","male"
"65","Patterson","John W.","BRUSHY CREEK","Anderson",1898,"3","15","John","male","male"
"66","Cely","John F.","BRUSHY CREEK","Anderson",1886,"4","15","John","male","male"
"67","Elrod","Lawrence B.","BRUSHY CREEK","Anderson",1899,"5","18","Lawrence","male","male"
"68","Gaines","Benj. F.","BRUSHY CREEK","Anderson",1903,"1","13","Benj","male","male"
"69","Lunsford","Uriah W.","BRUSHY CREEK","Anderson",1908,"1","22","Uriah","male","male"
"70","Lunsford","Wm. H.","BRUSHY CREEK","Anderson",1913,"10","6","Wm",NA,"male"
"71","Gaines","B. F.","BRUSHY CREEK","Anderson",1916,"2","18","B","male","male"
"72","Evans","Alfred L.","BRUSHY CREEK","Anderson",1917,"3","27","Alfred","male","male"
"73","Godley","Arch. G.","BRUSHY CREEK","Anderson",1921,"2","16","Arch","male","male"
"74","Berry","Doyle P.","BRUSHY CREEK","Anderson",1922,"8","15","Doyle","male","male"
"75","Cely","Frank I.","BRUSHY CREEK","Anderson",1923,"7","17","Frank","male","male"
"76","Patterson","Ruth R.","CANTRELL","Anderson",1901,"12","19","Ruth","female","female"
"77","Davenport","Wm. A.","CAYUGA","Anderson",1894,"5","7","Wm",NA,"male"
"78","Cornwell","Cora L.","CAYUGA","Anderson",1897,"7","29","Cora","female","female"
"79","Godley","Beulah","CAYUGA","Anderson",1903,"8","3","Beulah","female","female"
"80","Thomas","Mamie C.","CAYUGA","Anderson",1906,"12","3","Mamie","female","female"
"81","Godley","Beulah","CAYUGA","Anderson",1909,"2","19","Beulah","female","female"
"82","Harton","Jewel","CAYUGA","Anderson",1910,"4","2","Jewel","female","female"
"83","Johnson","Jos. A.","CAYUGA","Anderson",1910,"10","5","Jos","male","male"
"84","Brown","Wm. M.","COUNTY LINE","Anderson",1903,"4","14","Wm",NA,"male"
"85","Brown","Isaac W.","DENMARK","Anderson",1905,"8","2","Isaac","male","male"
"86","Day","Chas. L.","DENMARK","Anderson",1913,"8","27","Chas",NA,"male"
"87","Wortham","John W.","DENSON SPRING","Anderson",1893,"12","28","John","male","male"
"88","Cone","John P.","DENSON SPRING","Anderson",1910,"6","27","John","male","male"
"89","Bourman","Joel H.","DENSON SPRING","Anderson",1915,"5","1","Joel","male","male"
"90","Thompson","Wm. E.","DENSON SPRING","Anderson",1917,"2","19","Wm",NA,"male"
"91","Kennedy","Jos.","ELKHART","Anderson",1850,"3","19","Jos","male","male"
"92","Bryan","Jas. W.","ELKHART","Anderson",1874,"1","28","Jas",NA,"male"
"93","Caldwell","Wm. S.","ELKHART","Anderson",1874,"10","13","Wm",NA,"male"
"94","Douthit","E. V.","ELKHART","Anderson",1875,"7","29","E","female","female"
"95","Ray","John C.","ELKHART","Anderson",1876,"1","17","John","male","male"
