Year,Duration
2,4671
2,763
1,3837
3,797
1,366
2,526
0,280
0,4648
1,1202
2,801
2,106
2,2035
0,5116
2,1552
3,693
1,478
1,2326
0,395
2,1030
0,1635
1,179
1,515
3,202
1,1501
1,484
2,874
1,616
2,553
2,1052
2,2201
0,1620
1,263
1,1280
1,3556
3,189
3,1180
2,1825
3,786
1,655
3,342
0,2191
2,2035
0,482
1,298
2,788
0,1665
1,151
1,1153
0,88
1,2749
0,774
2,963
0,1696
0,5544
0,3744
2,77
2,200
3,209
2,2265
0,446
1,1086
1,4179
0,62
0,111
1,429
2,1335
1,1835
2,2084
0,865
2,403
0,1422
3,545
1,336
2,564
0,1274
1,1179
0,2195
1,1218
1,809
3,407
1,186
1,1319
1,1173
0,2432
0,1541
0,6024
1,1328
2,660
3,481
1,1745
0,258
1,289
2,172
2,917
1,512
2,6974
1,2478
0,2879
0,1493
0,2277
0,na
0,1535
0,112
2,194
2,511
0,5828
1,3654
3,70
3,281
0,57
0,473
1,1031
0,7031
3,110
2,2750
1,935
0,1685
0,1370
0,na
3,284
3,1777
0,2893
1,85
3,417
0,1942
1,1227
3,3410
1,526
2,92
2,155
3,552
0,1832
1,2761
1,18
1,2624
0,1015
3,1397
3,429
0,839
2,475
3,1263
0,497
1,525
0,1190
0,300
0,440
2,874
0,144
0,1537
0,246
1,22
1,991
0,2695
3,5155
1,4103
0,1005
1,3802
1,1835
1,286
0,275
0,340
0,349
1,878
0,1349
3,na
1,1159
0,1942
0,874
2,94
1,979
0,714
2,179
0,296
1,8759
1,424
3,4517
3,147
3,986
0,240
0,2757
2,na
3,4741
0,1757
0,284
1,1341
1,778
3,1258
3,876
1,na
2,514
3,1808
0,227
0,66
1,603
2,2022
0,1625
0,956
3,497
0,145
1,298
1,109
2,489
3,4865
0,1431
0,1492
0,1544
1,3208
1,2324
0,29
0,3494
1,na
1,44
1,482
0,1596
0,1917
0,2048
3,600
0,365
1,444
3,1689
3,456
0,697
1,1273
2,893
0,2011
3,1048
2,2168
1,2177
3,748
2,337
2,433
3,1797
2,810
1,545
3,620
0,353
1,265
2,321
0,3192
2,259
2,1169
1,1649
2,na
1,581
0,307
0,1997
1,512
3,166
0,2285
2,1270
1,4942
3,269
0,na
2,559
3,47
0,na
1,2961
3,436
0,1942
2,1526
2,11324
1,na
0,678
2,2258
0,755
3,1275
2,1645
3,1253
2,468
3,237
2,53
2,202
3,2265
0,na
1,2901
2,na
3,810
2,1374
1,1688
2,727
0,1675
1,1047
3,812
2,na
3,131
3,na
3,308
0,362
1,912
0,1326
3,1216
3,416
0,889
0,1240
2,184
2,1449
2,na
1,1103
1,480
3,2107
1,563
2,1415
2,1134
1,133
1,1503
1,5054
3,43
3,161
0,175
0,491
2,224
2,1812
2,1071
3,497
0,2037
1,375
2,18
2,328
3,262
3,403
1,407
3,1660
3,1067
0,1789
1,192
2,1991
3,99
0,113
3,384
0,71
0,340
3,49
1,429
2,289
3,3475
0,6199
1,na
3,264
0,1122
2,448
0,1092
3,268
0,1918
1,2409
0,4674
1,na
2,532
3,1056
2,1136
1,571
3,1179
1,977
0,16
1,247
3,595
0,685
2,291
3,910
2,1813
3,3538
0,na
3,427
0,238
0,4243
0,1430
0,1254
3,1536
3,6196
0,na
0,482
1,85
3,578
1,8628
1,32
0,1642
1,381
0,497
2,297
3,321
3,189
0,277
0,400
1,1243
0,493
0,3445
1,644
3,819
1,133
0,1000
3,3391
0,350
1,85
2,515
0,671
3,563
1,452
2,134
0,752
0,na
3,1942
1,1698
1,2094
3,2330
1,617
1,2136
0,1333
0,1917
1,70
1,1003
0,432
1,715
3,223
0,26
0,337
0,343
1,625
3,960
2,1046
1,2394
3,465
0,2751
0,749
2,98
2,189
3,260
0,1608
0,9716
3,2336
1,521
3,1039
2,1301
1,2574
0,148
1,na
1,219
1,365
2,3240
3,484
1,679
2,594
0,189
1,548
2,71
2,2062
0,6485
2,1110
1,186
1,1797
0,na
0,na
1,160
2,584
3,234
0,347
1,1535
0,343
1,2515
0,1272
0,1451
0,914
2,1525
2,4650
3,904
2,358
3,901
1,160
2,1772
3,na
1,3124
1,1572
2,2349
0,141
1,465
2,na
1,336
2,369
0,281
0,1798
1,681
0,584
1,311
2,332
2,118
3,1429
1,89
2,354
0,1398
0,434
1,1110
0,1891
1,1035
0,2563
0,129
0,222
1,752
0,1240
0,287
1,1262
0,1446
2,1743
3,141
3,335
0,4151
3,1657
0,990
2,1649
3,1207
3,711
1,na
2,220
3,429
0,1913
2,517
3,384
0,215
1,861
3,570
1,923
3,200
0,177
0,405
1,437
2,1209
2,265
2,1149
2,100
2,64
1,1214
1,648
2,1855
1,5679
0,300
1,1984
3,4986
1,389
2,235
0,1126
1,na
1,1698
1,411
2,2572
1,122
1,235
1,1478
1,1188
3,665
1,448
2,226
0,307
0,18
2,731
3,na
3,336
3,4557
0,687
3,165
0,507
1,835
0,263
0,1085
3,1251
3,1846
0,na
3,2434
1,730
3,na
2,1054
0,217
0,1840
2,213
3,4845
0,684
2,443
3,965
1,746
1,1576
1,91
2,na
2,8330
0,180
0,530
2,3704
0,1353
0,60
0,408
2,247
0,1561
1,2133
2,4542
3,1191
2,178
3,2376
1,na
2,675
3,1451
0,6709
2,1526
2,na
1,302
2,1798
2,1015
1,704
3,1218
3,586
0,1603
1,1195
0,1668
0,5777
0,144
1,1057
0,36
0,1585
0,340
1,143
1,na
3,252
3,1430
1,576
3,434
0,307
0,236
1,865
0,1190
3,529
3,1367
1,5686
0,3369
2,451
3,42
3,411
0,76
0,159
1,na
0,585
0,53
0,1202
0,1107
1,1155
0,742
2,332
3,1923
0,2003
2,6090
0,na
1,1068
0,63
0,527
1,787
0,3720
3,128
0,223
0,301
1,192
2,615
3,na
1,462
2,1196
1,na
0,392
3,1559
3,na
0,157
2,2567
1,412
2,1502
3,1097
2,8595
1,4045
0,79
0,na
0,538
1,593
3,353
3,934
1,146
2,33
2,762
0,1261
3,252
0,338
1,1706
1,3682
0,3198
0,na
2,692
0,253
3,1633
0,603
1,139
2,1805
3,340
0,1097
2,830
1,308
2,704
0,1627
0,6089
1,na
0,1562
1,2468
0,7692
1,1142
0,1421
0,1070
3,1649
1,na
2,1229
2,877
0,576
2,306
3,1240
1,2443
1,985
3,1188
3,1752
3,na
0,637
2,5684
1,751
3,1392
3,438
0,na
1,2218
3,1773
0,70
0,3539
2,287
3,344
0,236
0,242
1,1348
1,805
3,9052
0,5590
3,378
0,na
3,183
2,893
3,376
0,48
0,574
2,1848
2,128
3,516
1,462
2,583
0,656
1,2752
1,181
1,770
0,1879
1,313
2,1984
3,6019
2,10850
0,297
0,3624
2,771
0,1180
0,248
0,19
0,na
3,637
1,557
2,899
1,985
3,1164
0,206
1,na
0,1721
1,2686
1,na
0,1128
3,928
2,488
0,765
0,1430
2,na
3,912
1,1483
1,91
2,1043
0,753
3,235
3,754
1,795
3,1862
0,656
0,1576
0,2375
2,314
3,2728
2,3962
1,836
3,3535
0,2702
3,na
2,1717
3,1440
0,na
3,5476
2,75
2,1459
2,4529
2,833
1,211
1,378
3,203
